,날짜,경남 평균기온(℃),경남누적확진자,경남월별확진자
0,2020-02,5.6923076923076925,488,488
1,2020-03,9.093548387096773,1300,812
2,2020-04,11.766666666666667,1365,65
3,2020-05,18.206451612903223,1379,14
4,2020-06,23.0,1389,10
5,2020-07,22.461290322580645,1401,12
6,2020-08,27.096774193548388,1455,54
7,2020-09,20.51333333333333,1551,96
8,2020-10,14.819354838709677,1587,36
9,2020-11,9.68,1704,117
10,2020-12,1.9774193548387096,2424,720
11,2021-01,0.996774193548387,3017,593
12,2021-02,5.053571428571429,3253,236
13,2021-03,10.070967741935483,3504,251
14,2021-04,13.913333333333332,4110,606
15,2021-05,17.612903225806452,4692,582
16,2021-06,22.12,4949,257
