,날짜,광주 평균기온(℃),광주누적확진자,광주월별확진자
0,2020-02,6.476923076923077,9,9
1,2020-03,8.993548387096775,20,11
2,2020-04,11.486666666666668,30,10
3,2020-05,18.825806451612905,32,2
4,2020-06,23.55,44,12
5,2020-07,23.361290322580647,204,160
6,2020-08,27.606451612903225,374,170
7,2020-09,21.290000000000003,495,121
8,2020-10,15.651612903225804,511,16
9,2020-11,10.54,696,185
10,2020-12,2.658064516129032,1081,385
11,2021-01,1.4387096774193548,1783,702
12,2021-02,5.142857142857143,2084,301
13,2021-03,10.63548387096774,2209,125
14,2021-04,14.896666666666668,2409,200
15,2021-05,18.38064516129032,2805,396
16,2021-06,23.290000000000003,2937,132
