,날짜,부산 평균기온(℃),부산누적확진자,부산월별확진자
0,2020-02,7.415384615384616,80,80
1,2020-03,10.441935483870967,119,39
2,2020-04,12.62,137,18
3,2020-05,17.87741935483871,147,10
4,2020-06,22.433333333333334,154,7
5,2020-07,22.11935483870968,171,17
6,2020-08,27.21935483870968,297,126
7,2020-09,21.936666666666667,421,124
8,2020-10,17.280645161290323,592,171
9,2020-11,12.4,809,217
10,2020-12,4.341935483870968,1867,1058
11,2021-01,3.274193548387097,2756,889
12,2021-02,7.196428571428571,3222,466
13,2021-03,11.36774193548387,3805,583
14,2021-04,14.733333333333333,5049,1244
15,2021-05,17.741935483870968,5668,619
16,2021-06,21.85666666666667,6221,553
