,날짜,서울 평균기온(℃),서울누적확진자,서울월별확진자,위도,경도
0,2020-02-01,3.630769230769231,77,77,37.56385597,126.97408637
1,2020-03-01,7.735483870967743,450,373,37.56385597,126.97408637
2,2020-04-01,11.123333333333331,633,183,37.56385597,126.97408637
3,2020-05-01,18.006451612903227,861,228,37.56385597,126.97408637
4,2020-06-01,23.886666666666667,1312,451,37.56385597,126.97408637
5,2020-07-01,24.14516129032258,1600,288,37.56385597,126.97408637
6,2020-08-01,26.51935483870968,3867,2267,37.56385597,126.97408637
7,2020-09-01,21.39333333333333,5293,1426,37.56385597,126.97408637
8,2020-10-01,14.290322580645162,6011,718,37.56385597,126.97408637
9,2020-11-01,8.026666666666667,8812,2801,37.56385597,126.97408637
10,2020-12-01,-0.3516129032258065,18996,10184,37.56385597,126.97408637
11,2021-01-01,-2.370967741935484,24156,5160,37.56385597,126.97408637
12,2021-02-01,2.732142857142857,28236,4080,37.56385597,126.97408637
13,2021-03-01,9.016129032258064,32030,3794,37.56385597,126.97408637
14,2021-04-01,14.196666666666664,37837,5807,37.56385597,126.97408637
15,2021-05-01,17.067741935483873,43196,5359,37.56385597,126.97408637
16,2021-06-01,22.816666666666663,49987,6791,37.56385597,126.97408637
