,날짜,세종 평균기온(℃),세종누적확진자,세종월별확진자
0,2020-02,4.038461538461538,1,1
1,2020-03,7.780645161290322,46,45
2,2020-04,10.82,46,0
3,2020-05,18.154838709677417,47,1
4,2020-06,23.183333333333334,50,3
5,2020-07,23.203225806451613,50,0
6,2020-08,26.80967741935484,67,17
7,2020-09,20.540000000000003,76,9
8,2020-10,13.438709677419354,82,6
9,2020-11,8.046666666666667,100,18
10,2020-12,-0.0741935483870967,149,49
11,2021-01,-1.7483870967741937,196,47
12,2021-02,3.2392857142857143,226,30
13,2021-03,8.806451612903226,270,44
14,2021-04,13.85,357,87
15,2021-05,16.774193548387096,480,123
16,2021-06,22.563333333333333,560,80
