,날짜,인천 평균기온(℃),인천누적확진자,인천월별확진자,위도,경도
0,2020-02-01,3.607692307692308,6,6,37.46454996,126.67435005
1,2020-03-01,7.061290322580645,64,58,37.46454996,126.67435005
2,2020-04-01,10.436666666666667,93,29,37.46454996,126.67435005
3,2020-05-01,16.661290322580644,206,113,37.46454996,126.67435005
4,2020-06-01,21.790000000000003,341,135,37.46454996,126.67435005
5,2020-07-01,23.203225806451613,383,42,37.46454996,126.67435005
6,2020-08-01,25.851612903225806,718,335,37.46454996,126.67435005
7,2020-09-01,21.346666666666668,916,198,37.46454996,126.67435005
8,2020-10-01,14.77741935483871,1045,126,37.46454996,126.67435005
9,2020-11-01,8.29,1409,364,37.46454996,126.67435005
10,2020-12-01,0.2483870967741935,2839,1430,37.46454996,126.67435005
11,2021-01-01,-2.05483870967742,3813,974,37.46454996,126.67435005
12,2021-02-01,2.075,4431,618,37.46454996,126.67435005
13,2021-03-01,7.729032258064516,5058,627,37.46454996,126.67435005
14,2021-04-01,13.153333333333334,5665,607,37.46454996,126.67435005
15,2021-05-01,16.164516129032258,6198,533,37.46454996,126.67435005
16,2021-06-01,21.64333333333333,6767,569,37.46454996,126.67435005
