,날짜,전남 평균기온(℃),전남누적확진자,전남월별확진자
0,2020-02,2.1461538461538465,3,3
1,2020-03,6.693548387096774,9,6
2,2020-04,10.213333333333331,15,6
3,2020-05,17.1,19,4
4,2020-06,22.78333333333333,24,5
5,2020-07,22.958064516129035,38,14
6,2020-08,25.280645161290323,142,104
7,2020-09,19.53,169,27
8,2020-10,12.048387096774194,185,16
9,2020-11,6.303333333333333,424,239
10,2020-12,-2.232258064516129,560,136
11,2021-01,1.8387096774193548,749,189
12,2021-02,5.275,859,110
13,2021-03,9.961290322580645,913,54
14,2021-04,13.923333333333334,1053,140
15,2021-05,17.66774193548387,1463,410
16,2021-06,22.40666666666667,1648,185
