,Unnamed: 0,date,region,confirmed,death,released,부산일일확진자
0,1,20200217,부산,0,0,0,0
1,18,20200218,부산,0,0,0,0
2,35,20200219,부산,0,0,0,0
3,52,20200220,부산,8,0,0,8
4,69,20200221,부산,8,0,0,0
5,86,20200222,부산,11,0,0,3
6,103,20200223,부산,19,0,0,8
7,120,20200224,부산,34,0,0,15
8,137,20200225,부산,42,0,0,8
9,154,20200226,부산,58,0,0,16
10,171,20200227,부산,61,0,0,3
11,188,20200228,부산,65,0,0,4
12,205,20200229,부산,80,0,0,15
13,222,20200301,부산,83,0,0,3
14,239,20200302,부산,88,0,0,5
15,256,20200303,부산,90,0,1,2
16,273,20200304,부산,93,0,1,3
17,290,20200305,부산,92,0,2,-1
18,307,20200306,부산,95,0,2,3
19,324,20200307,부산,96,0,2,1
20,341,20200308,부산,97,0,9,1
21,358,20200309,부산,96,0,10,-1
22,375,20200310,부산,96,0,10,0
23,392,20200311,부산,98,0,21,2
24,409,20200312,부산,99,0,29,1
25,426,20200313,부산,100,0,36,1
26,443,20200314,부산,103,0,40,3
27,460,20200315,부산,106,1,52,3
28,477,20200316,부산,107,1,53,1
29,494,20200317,부산,107,1,54,0
30,511,20200318,부산,107,1,58,0
31,528,20200319,부산,107,1,58,0
32,545,20200320,부산,108,1,60,1
33,562,20200321,부산,108,1,67,0
34,579,20200322,부산,108,1,69,0
35,596,20200323,부산,109,1,71,1
36,613,20200324,부산,111,1,71,2
37,630,20200325,부산,112,1,73,1
38,647,20200326,부산,112,2,75,0
39,664,20200327,부산,113,2,81,1
40,681,20200328,부산,114,2,81,1
41,698,20200329,부산,117,3,85,3
42,715,20200330,부산,118,3,87,1
43,732,20200331,부산,119,3,87,1
44,749,20200401,부산,122,3,87,3
45,766,20200402,부산,122,3,87,0
46,783,20200403,부산,122,3,88,0
47,800,20200404,부산,122,3,90,0
48,817,20200405,부산,122,3,90,0
49,834,20200406,부산,122,3,91,0
50,851,20200407,부산,123,3,91,1
51,868,20200408,부산,125,3,94,2
52,885,20200409,부산,125,3,97,0
53,902,20200410,부산,126,3,98,1
54,919,20200411,부산,126,3,100,0
55,936,20200412,부산,126,3,103,0
56,953,20200413,부산,126,3,103,0
57,970,20200414,부산,126,3,103,0
58,987,20200415,부산,127,3,107,1
59,1004,20200416,부산,130,3,111,3
60,1021,20200417,부산,130,3,112,0
61,1038,20200418,부산,130,3,112,0
62,1055,20200419,부산,130,3,115,0
63,1072,20200420,부산,132,3,115,2
64,1089,20200421,부산,132,3,115,0
65,1106,20200422,부산,134,3,115,2
66,1123,20200423,부산,135,3,116,1
67,1140,20200424,부산,136,3,116,1
68,1157,20200425,부산,136,3,116,0
69,1174,20200426,부산,137,3,116,1
70,1191,20200427,부산,137,3,117,0
71,1208,20200428,부산,137,3,116,0
72,1225,20200429,부산,137,3,116,0
73,1242,20200430,부산,137,3,116,0
74,1259,20200501,부산,137,3,116,0
75,1276,20200502,부산,138,3,117,1
