,Unnamed: 0,date,region,confirmed,death,released,충북일일확진자
0,10,20200217,충북,0,0,0,0
1,27,20200218,충북,0,0,0,0
2,44,20200219,충북,0,0,0,0
3,61,20200220,충북,0,0,0,0
4,78,20200221,충북,1,0,0,1
5,95,20200222,충북,3,0,0,2
6,112,20200223,충북,3,0,0,0
7,129,20200224,충북,3,0,0,0
8,146,20200225,충북,5,0,0,2
9,163,20200226,충북,5,0,0,0
10,180,20200227,충북,8,0,0,3
11,197,20200228,충북,9,0,0,1
12,214,20200229,충북,10,0,0,1
13,231,20200301,충북,11,0,0,1
14,248,20200302,충북,11,0,0,0
15,265,20200303,충북,11,0,0,0
16,282,20200304,충북,11,0,0,0
17,299,20200305,충북,12,0,1,1
18,316,20200306,충북,15,0,1,3
19,333,20200307,충북,20,0,1,5
20,350,20200308,충북,24,0,1,4
21,367,20200309,충북,25,0,3,1
22,384,20200310,충북,25,0,3,0
23,401,20200311,충북,27,0,3,2
24,418,20200312,충북,27,0,4,0
25,435,20200313,충북,27,0,4,0
26,452,20200314,충북,28,0,5,1
27,469,20200315,충북,31,0,6,3
28,486,20200316,충북,31,0,6,0
29,503,20200317,충북,31,0,5,0
30,520,20200318,충북,32,0,5,1
31,537,20200319,충북,33,0,5,1
32,554,20200320,충북,33,0,6,0
33,571,20200321,충북,34,0,8,1
34,588,20200322,충북,35,0,9,1
35,605,20200323,충북,37,0,9,2
36,622,20200324,충북,38,0,11,1
37,639,20200325,충북,38,0,13,0
38,656,20200326,충북,39,0,14,1
39,673,20200327,충북,41,0,17,2
40,690,20200328,충북,41,0,21,0
41,707,20200329,충북,41,0,21,0
42,724,20200330,충북,44,0,21,3
43,741,20200331,충북,44,0,22,0
44,758,20200401,충북,44,0,23,0
45,775,20200402,충북,44,0,23,0
46,792,20200403,충북,45,0,25,1
47,809,20200404,충북,45,0,27,0
48,826,20200405,충북,45,0,28,0
49,843,20200406,충북,45,0,29,0
50,860,20200407,충북,45,0,29,0
51,877,20200408,충북,45,0,29,0
52,894,20200409,충북,45,0,30,0
53,911,20200410,충북,45,0,28,0
54,928,20200411,충북,45,0,28,0
55,945,20200412,충북,45,0,29,0
56,962,20200413,충북,45,0,31,0
57,979,20200414,충북,45,0,31,0
58,996,20200415,충북,45,0,31,0
59,1013,20200416,충북,45,0,34,0
60,1030,20200417,충북,45,0,37,0
61,1047,20200418,충북,45,0,38,0
62,1064,20200419,충북,45,0,38,0
63,1081,20200420,충북,45,0,38,0
64,1098,20200421,충북,45,0,39,0
65,1115,20200422,충북,45,0,39,0
66,1132,20200423,충북,45,0,40,0
67,1149,20200424,충북,45,0,40,0
68,1166,20200425,충북,45,0,40,0
69,1183,20200426,충북,45,0,40,0
70,1200,20200427,충북,45,0,40,0
71,1217,20200428,충북,45,0,40,0
72,1234,20200429,충북,45,0,40,0
73,1251,20200430,충북,45,0,41,0
74,1268,20200501,충북,45,0,41,0
75,1285,20200502,충북,45,0,41,0
76,1302,20200503,충북,45,0,42,0
77,1319,20200504,충북,45,0,42,0
78,1336,20200505,충북,45,0,42,0
79,1353,20200506,충북,45,0,42,0
80,1370,20200507,충북,46,0,42,1
81,1387,20200508,충북,47,0,41,1
82,1404,20200509,충북,47,0,41,0
83,1421,20200510,충북,49,0,42,2
84,1438,20200511,충북,52,0,42,3
85,1455,20200512,충북,52,0,42,0
86,1472,20200513,충북,52,0,43,0
87,1489,20200514,충북,55,0,43,3
88,1506,20200515,충북,55,0,43,0
89,1523,20200516,충북,56,0,43,1
90,1540,20200517,충북,56,0,43,0
91,1557,20200518,충북,59,0,43,3
92,1574,20200519,충북,59,0,43,0
93,1591,20200520,충북,59,0,44,0
94,1608,20200521,충북,59,0,44,0
95,1625,20200522,충북,59,0,44,0
96,1642,20200523,충북,59,0,45,0
97,1659,20200524,충북,59,0,46,0
98,1676,20200525,충북,59,0,46,0
99,1693,20200526,충북,60,0,46,1
100,1710,20200527,충북,60,0,46,0
101,1727,20200528,충북,60,0,46,0
102,1744,20200529,충북,60,0,46,0
103,1761,20200530,충북,60,0,49,0
104,1778,20200531,충북,60,0,49,0
105,1795,20200601,충북,60,0,49,0
106,1812,20200602,충북,60,0,49,0
107,1829,20200603,충북,60,0,49,0
108,1846,20200604,충북,60,0,49,0
109,1863,20200605,충북,60,0,49,0
110,1880,20200606,충북,60,0,49,0
111,1897,20200607,충북,61,0,49,1
112,1914,20200608,충북,61,0,49,0
113,1931,20200609,충북,61,0,49,0
114,1948,20200610,충북,61,0,49,0
115,1965,20200611,충북,61,0,52,0
116,1982,20200612,충북,61,0,52,0
117,1999,20200613,충북,61,0,52,0
118,2016,20200614,충북,61,0,52,0
119,2033,20200615,충북,61,0,52,0
120,2050,20200616,충북,61,0,55,0
121,2067,20200617,충북,61,0,55,0
122,2084,20200618,충북,61,0,55,0
123,2101,20200619,충북,61,0,55,0
124,2118,20200620,충북,61,0,55,0
125,2135,20200621,충북,61,0,55,0
126,2152,20200622,충북,61,0,56,0
127,2169,20200623,충북,62,0,56,1
128,2186,20200624,충북,62,0,56,0
129,2203,20200625,충북,62,0,57,0
