,Unnamed: 0,date,region,confirmed,death,released,대구일일확진자
0,2,20200217,대구,0,0,0,0
1,19,20200218,대구,1,0,0,1
2,36,20200219,대구,16,0,0,15
3,53,20200220,대구,30,0,0,14
4,70,20200221,대구,110,0,0,80
5,87,20200222,대구,193,1,0,83
6,104,20200223,대구,310,2,0,117
7,121,20200224,대구,483,2,0,173
8,138,20200225,대구,543,4,0,60
9,155,20200226,대구,710,5,1,167
10,172,20200227,대구,1132,6,1,422
11,189,20200228,대구,1580,6,2,448
12,206,20200229,대구,2236,10,2,656
13,223,20200301,대구,2705,11,4,469
14,240,20200302,대구,3081,15,4,376
15,257,20200303,대구,3601,21,6,520
16,274,20200304,대구,4006,25,6,405
17,291,20200305,대구,4327,28,14,321
18,308,20200306,대구,4694,31,15,367
19,325,20200307,대구,5084,32,18,390
20,342,20200308,대구,5381,36,18,297
21,359,20200309,대구,5571,35,21,190
22,376,20200310,대구,5663,38,92,92
23,393,20200311,대구,5794,44,102,131
24,410,20200312,대구,5867,48,114,73
25,427,20200313,대구,5928,48,251,61
26,444,20200314,대구,5990,51,401,62
27,461,20200315,대구,6031,53,468,41
28,478,20200316,대구,6066,53,734,35
29,495,20200317,대구,6098,57,947,32
30,512,20200318,대구,6144,58,1048,46
31,529,20200319,대구,6241,65,1382,97
32,546,20200320,대구,6275,67,1577,34
33,563,20200321,대구,6344,73,1861,69
34,580,20200322,대구,6387,75,2107,43
35,597,20200323,대구,6411,82,2305,24
36,614,20200324,대구,6442,88,2571,31
37,631,20200325,대구,6456,92,2740,14
38,648,20200326,대구,6482,94,3039,26
39,665,20200327,대구,6516,98,3324,34
40,682,20200328,대구,6587,101,3543,71
41,699,20200329,대구,6610,106,3706,23
42,716,20200330,대구,6624,111,3837,14
43,733,20200331,대구,6684,114,3946,60
44,750,20200401,대구,6704,115,4070,20
45,767,20200402,대구,6725,117,4070,21
46,784,20200403,대구,6734,121,4434,9
47,801,20200404,대구,6761,122,4673,27
48,818,20200405,대구,6768,127,4773,7
49,835,20200406,대구,6781,129,4865,13
50,852,20200407,대구,6794,134,4918,13
51,869,20200408,대구,6803,137,4961,9
52,886,20200409,대구,6807,139,5106,4
53,903,20200410,대구,6807,142,5193,0
54,920,20200411,대구,6814,145,5271,7
55,937,20200412,대구,6816,146,5356,2
56,954,20200413,대구,6819,147,5395,3
57,971,20200414,대구,6822,152,5440,3
58,988,20200415,대구,6823,155,5486,1
59,1005,20200416,대구,6827,158,5586,4
60,1022,20200417,대구,6827,159,5626,0
61,1039,20200418,대구,6830,160,5685,3
62,1056,20200419,대구,6832,161,5743,2
63,1073,20200420,대구,6833,163,5769,1
64,1090,20200421,대구,6835,164,5793,2
65,1107,20200422,대구,6836,165,5827,1
66,1124,20200423,대구,6840,166,5890,4
67,1141,20200424,대구,6842,166,5931,2
68,1158,20200425,대구,6845,166,5974,3
69,1175,20200426,대구,6846,168,6018,1
70,1192,20200427,대구,6847,169,6040,1
71,1209,20200428,대구,6849,170,6056,2
72,1226,20200429,대구,6852,171,6075,3
73,1243,20200430,대구,6852,172,6144,0
74,1260,20200501,대구,6852,172,6144,0
75,1277,20200502,대구,6852,174,6155,0
76,1294,20200503,대구,6856,174,6167,4
77,1311,20200504,대구,6856,174,6177,0
78,1328,20200505,대구,6856,176,6199,0
79,1345,20200506,대구,6856,177,6217,0
80,1362,20200507,대구,6856,178,6249,0
81,1379,20200508,대구,6859,178,6277,3
82,1396,20200509,대구,6859,178,6306,0
83,1413,20200510,대구,6861,178,6318,2
84,1430,20200511,대구,6861,178,6318,0
85,1447,20200512,대구,6862,179,6331,1
86,1464,20200513,대구,6865,179,6322,3
87,1481,20200514,대구,6865,179,6349,0
88,1498,20200515,대구,6868,179,6366,3
89,1515,20200516,대구,6869,181,6367,1
90,1532,20200517,대구,6870,181,6376,1
91,1549,20200518,대구,6871,182,6376,1
