,Unnamed: 0,date,region,confirmed,death,released,대전일일확진자
0,5,20200217,대전,0,0,0,0
1,22,20200218,대전,0,0,0,0
2,39,20200219,대전,0,0,0,0
3,56,20200220,대전,0,0,0,0
4,73,20200221,대전,0,0,0,0
5,90,20200222,대전,2,0,0,2
6,107,20200223,대전,3,0,0,1
7,124,20200224,대전,3,0,0,0
8,141,20200225,대전,3,0,0,0
9,158,20200226,대전,5,0,0,2
10,175,20200227,대전,9,0,0,4
11,192,20200228,대전,13,0,0,4
12,209,20200229,대전,13,0,0,0
13,226,20200301,대전,13,0,0,0
14,243,20200302,대전,14,0,1,1
15,260,20200303,대전,14,0,1,0
16,277,20200304,대전,15,0,0,1
17,294,20200305,대전,16,0,0,1
18,311,20200306,대전,18,0,0,2
19,328,20200307,대전,18,0,0,0
20,345,20200308,대전,18,0,1,0
21,362,20200309,대전,19,0,1,1
22,379,20200310,대전,18,0,1,-1
23,396,20200311,대전,18,0,2,0
24,413,20200312,대전,20,0,2,2
25,430,20200313,대전,22,0,4,2
26,447,20200314,대전,22,0,4,0
27,464,20200315,대전,22,0,4,0
28,481,20200316,대전,22,0,4,0
29,498,20200317,대전,22,0,4,0
30,515,20200318,대전,22,0,4,0
31,532,20200319,대전,22,0,4,0
32,549,20200320,대전,22,0,5,0
33,566,20200321,대전,22,0,5,0
34,583,20200322,대전,24,0,6,2
35,600,20200323,대전,24,0,6,0
36,617,20200324,대전,24,0,6,0
37,634,20200325,대전,24,0,6,0
38,651,20200326,대전,30,0,6,6
39,668,20200327,대전,31,0,9,1
40,685,20200328,대전,31,0,10,0
41,702,20200329,대전,34,0,14,3
42,719,20200330,대전,34,0,17,0
43,736,20200331,대전,36,0,18,2
44,753,20200401,대전,36,0,18,0
45,770,20200402,대전,36,0,18,0
46,787,20200403,대전,36,0,18,0
47,804,20200404,대전,36,0,18,0
48,821,20200405,대전,37,0,18,1
49,838,20200406,대전,39,0,19,2
50,855,20200407,대전,39,0,20,0
51,872,20200408,대전,39,0,20,0
52,889,20200409,대전,39,0,20,0
53,906,20200410,대전,39,0,21,0
54,923,20200411,대전,39,0,22,0
55,940,20200412,대전,39,0,23,0
56,957,20200413,대전,39,0,23,0
57,974,20200414,대전,39,0,24,0
58,991,20200415,대전,39,0,24,0
59,1008,20200416,대전,39,0,25,0
60,1025,20200417,대전,40,0,25,1
61,1042,20200418,대전,39,0,25,-1
62,1059,20200419,대전,39,0,25,0
63,1076,20200420,대전,39,0,26,0
64,1093,20200421,대전,39,0,26,0
65,1110,20200422,대전,40,0,27,1
66,1127,20200423,대전,40,0,29,0
67,1144,20200424,대전,40,0,30,0
68,1161,20200425,대전,40,0,32,0
69,1178,20200426,대전,40,0,34,0
70,1195,20200427,대전,40,0,34,0
71,1212,20200428,대전,40,0,35,0
72,1229,20200429,대전,40,0,35,0
73,1246,20200430,대전,40,0,35,0
74,1263,20200501,대전,40,0,35,0
75,1280,20200502,대전,40,0,36,0
76,1297,20200503,대전,40,0,36,0
77,1314,20200504,대전,40,1,36,0
78,1331,20200505,대전,40,1,36,0
79,1348,20200506,대전,40,1,38,0
80,1365,20200507,대전,41,1,38,1
81,1382,20200508,대전,41,1,38,0
82,1399,20200509,대전,41,1,38,0
83,1416,20200510,대전,41,1,38,0
84,1433,20200511,대전,41,1,38,0
85,1450,20200512,대전,43,1,38,2
86,1467,20200513,대전,43,1,38,0
87,1484,20200514,대전,43,1,39,0
88,1501,20200515,대전,43,1,39,0
89,1518,20200516,대전,43,1,39,0
90,1535,20200517,대전,44,1,39,1
91,1552,20200518,대전,44,1,39,0
92,1569,20200519,대전,44,1,39,0
93,1586,20200520,대전,44,1,39,0
94,1603,20200521,대전,44,1,39,0
95,1620,20200522,대전,44,1,39,0
96,1637,20200523,대전,45,1,40,1
97,1654,20200524,대전,45,1,40,0
98,1671,20200525,대전,45,1,40,0
99,1688,20200526,대전,45,1,40,0
100,1705,20200527,대전,45,1,40,0
101,1722,20200528,대전,45,1,40,0
102,1739,20200529,대전,45,1,42,0
103,1756,20200530,대전,45,1,42,0
104,1773,20200531,대전,46,1,42,1
105,1790,20200601,대전,46,1,42,0
106,1807,20200602,대전,46,1,42,0
107,1824,20200603,대전,46,1,42,0
108,1841,20200604,대전,46,1,42,0
109,1858,20200605,대전,46,1,42,0
110,1875,20200606,대전,46,1,42,0
111,1892,20200607,대전,46,1,42,0
112,1909,20200608,대전,46,1,43,0
113,1926,20200609,대전,46,1,43,0
114,1943,20200610,대전,46,1,43,0
115,1960,20200611,대전,46,1,43,0
116,1977,20200612,대전,46,1,43,0
117,1994,20200613,대전,46,1,43,0
118,2011,20200614,대전,46,1,43,0
119,2028,20200615,대전,46,1,43,0
120,2045,20200616,대전,49,1,43,3
121,2062,20200617,대전,54,1,43,5
122,2079,20200618,대전,61,1,44,7
123,2096,20200619,대전,67,1,44,6
124,2113,20200620,대전,72,1,44,5
125,2130,20200621,대전,82,1,44,10
126,2147,20200622,대전,82,1,44,0
127,2164,20200623,대전,86,1,44,4
128,2181,20200624,대전,94,1,44,8
129,2198,20200625,대전,98,1,44,4
130,2215,20200626,대전,102,1,44,4
131,2232,20200627,대전,104,1,44,2
132,2249,20200628,대전,110,1,44,6
133,2266,20200629,대전,112,1,44,2
134,2283,20200630,대전,117,1,44,5
135,2300,20200701,대전,121,1,44,4
136,2317,20200702,대전,122,1,44,1
137,2334,20200703,대전,126,1,45,4
138,2351,20200704,대전,129,1,45,3
139,2368,20200705,대전,137,1,48,8
140,2385,20200706,대전,139,2,49,2
141,2402,20200707,대전,141,2,50,2
142,2419,20200708,대전,143,2,55,2
143,2436,20200709,대전,149,2,61,6
144,2453,20200710,대전,156,2,66,7
145,2470,20200711,대전,158,2,82,2
146,2487,20200712,대전,159,2,85,1
147,2504,20200713,대전,159,2,85,0
148,2521,20200714,대전,160,2,87,1
149,2538,20200715,대전,163,2,91,3
150,2555,20200716,대전,164,2,96,1
151,2572,20200717,대전,165,2,99,1
152,2589,20200718,대전,165,2,108,0
153,2606,20200719,대전,166,2,111,1
154,2623,20200720,대전,166,2,111,0
155,2640,20200721,대전,166,2,122,0
156,2657,20200722,대전,166,2,135,0
157,2674,20200723,대전,166,2,139,0
158,2691,20200724,대전,166,2,142,0
159,2708,20200725,대전,166,2,146,0
160,2725,20200726,대전,166,2,148,0
161,2742,20200727,대전,166,2,149,0
162,2759,20200728,대전,166,2,151,0
163,2776,20200729,대전,166,2,153,0
164,2793,20200730,대전,166,2,157,0
165,2810,20200731,대전,166,2,157,0
166,2827,20200801,대전,166,2,159,0
167,2844,20200802,대전,166,2,159,0
168,2861,20200803,대전,166,2,160,0
169,2878,20200804,대전,166,2,160,0
170,2895,20200805,대전,166,2,160,0
171,2912,20200806,대전,166,2,160,0
172,2929,20200807,대전,166,2,161,0
173,2946,20200808,대전,166,2,162,0
174,2963,20200809,대전,166,2,162,0
175,2980,20200810,대전,166,2,162,0
176,2997,20200811,대전,166,2,164,0
177,3014,20200812,대전,167,2,164,1
178,3031,20200813,대전,167,2,164,0
179,3048,20200814,대전,167,2,164,0
180,3065,20200815,대전,168,2,164,1
181,3082,20200816,대전,168,2,164,0
182,3099,20200817,대전,170,2,164,2
183,3116,20200818,대전,170,2,164,0
184,3133,20200819,대전,170,2,164,0
185,3150,20200820,대전,178,2,164,8
186,3167,20200821,대전,185,2,164,7
187,3184,20200822,대전,190,2,164,5
188,3201,20200823,대전,205,2,164,15
189,3218,20200824,대전,215,2,164,10
190,3235,20200825,대전,226,2,164,11
191,3252,20200826,대전,233,2,164,7
192,3269,20200827,대전,236,2,164,3
193,3286,20200828,대전,239,2,164,3
194,3303,20200829,대전,243,2,165,4
195,3320,20200830,대전,249,2,166,6
196,3337,20200831,대전,256,2,167,7
197,3354,20200901,대전,264,2,171,8
198,3371,20200902,대전,278,2,178,14
199,3388,20200903,대전,282,3,180,4
200,3405,20200904,대전,286,3,190,4
201,3422,20200905,대전,288,3,197,2
202,3439,20200906,대전,293,3,197,5
203,3456,20200907,대전,298,3,210,5
204,3473,20200908,대전,302,3,215,4
205,3490,20200909,대전,310,3,218,8
206,3507,20200910,대전,321,3,229,11
207,3524,20200911,대전,332,3,233,11
208,3541,20200912,대전,339,3,241,7
209,3558,20200913,대전,341,3,244,2
210,3575,20200914,대전,342,3,255,1
211,3592,20200915,대전,345,3,257,3
212,3609,20200916,대전,346,3,266,1
213,3626,20200917,대전,348,3,279,2
214,3643,20200918,대전,350,3,287,2
215,3660,20200919,대전,352,3,290,2
216,3677,20200920,대전,354,3,291,2
217,3694,20200921,대전,356,3,291,2
218,3711,20200922,대전,356,3,298,0
219,3728,20200923,대전,356,3,302,0
220,3745,20200924,대전,357,3,309,1
221,3762,20200925,대전,357,3,310,0
222,3779,20200926,대전,358,3,310,1
223,3796,20200927,대전,358,3,313,0
224,3813,20200928,대전,358,4,316,0
225,3830,20200929,대전,358,4,318,0
226,3847,20200930,대전,360,4,322,2
227,3864,20201001,대전,360,4,326,0
228,3881,20201002,대전,360,4,333,0
229,3898,20201003,대전,362,4,333,2
230,3915,20201004,대전,364,4,333,2
231,3932,20201005,대전,365,4,334,1
232,3949,20201006,대전,368,4,337,3
233,3966,20201007,대전,370,4,345,2
234,3983,20201008,대전,377,4,347,7
235,4000,20201009,대전,382,5,350,5
236,4017,20201010,대전,383,5,351,1
237,4034,20201011,대전,385,5,351,2
238,4051,20201012,대전,398,5,351,13
239,4068,20201013,대전,408,5,352,10
240,4085,20201014,대전,412,5,354,4
241,4102,20201015,대전,413,5,354,1
242,4119,20201016,대전,415,5,354,2
243,4136,20201017,대전,415,5,357,0
244,4153,20201018,대전,416,5,359,1
245,4170,20201019,대전,418,5,361,2
246,4187,20201020,대전,419,5,366,1
247,4204,20201021,대전,423,5,367,4
248,4221,20201022,대전,423,5,373,0
249,4238,20201023,대전,423,5,377,0
250,4255,20201024,대전,428,5,380,5
251,4272,20201025,대전,429,5,383,1
252,4289,20201026,대전,430,5,385,1
253,4306,20201027,대전,435,6,390,5
254,4323,20201028,대전,442,6,400,7
255,4340,20201029,대전,442,6,401,0
256,4357,20201030,대전,442,6,405,0
257,4374,20201031,대전,442,6,407,0
258,4391,20201101,대전,442,6,409,0
259,4408,20201102,대전,442,6,410,0
260,4425,20201103,대전,442,6,412,0
261,4442,20201104,대전,443,6,415,1
262,4459,20201105,대전,443,6,416,0
263,4476,20201106,대전,443,6,421,0
