,Unnamed: 0,date,region,confirmed,death,released,인천일일확진자
0,3,20200217,인천,1,0,1,0
1,20,20200218,인천,1,0,1,0
2,37,20200219,인천,1,0,1,0
3,54,20200220,인천,2,0,1,1
4,71,20200221,인천,2,0,1,0
5,88,20200222,인천,2,0,1,0
6,105,20200223,인천,2,0,1,0
7,122,20200224,인천,2,0,1,0
8,139,20200225,인천,2,0,1,0
9,156,20200226,인천,3,0,1,1
10,173,20200227,인천,3,0,1,0
11,190,20200228,인천,4,0,1,1
12,207,20200229,인천,6,0,1,2
13,224,20200301,인천,6,0,1,0
14,241,20200302,인천,7,0,1,1
15,258,20200303,인천,7,0,1,0
16,275,20200304,인천,9,0,1,2
17,292,20200305,인천,9,0,2,0
18,309,20200306,인천,9,0,2,0
19,326,20200307,인천,9,0,2,0
20,343,20200308,인천,9,0,2,0
21,360,20200309,인천,9,0,2,0
22,377,20200310,인천,13,0,3,4
23,394,20200311,인천,25,0,3,12
24,411,20200312,인천,25,0,4,0
25,428,20200313,인천,27,0,4,2
26,445,20200314,인천,28,0,4,1
27,462,20200315,인천,30,0,4,2
28,479,20200316,인천,30,0,4,0
29,496,20200317,인천,31,0,5,1
30,513,20200318,인천,32,0,5,1
31,530,20200319,인천,32,0,6,0
32,547,20200320,인천,36,0,7,4
33,564,20200321,인천,40,0,7,4
34,581,20200322,인천,40,0,8,0
35,598,20200323,인천,40,0,8,0
36,615,20200324,인천,41,0,8,1
37,632,20200325,인천,42,0,10,1
38,649,20200326,인천,43,0,11,1
39,666,20200327,인천,46,0,13,3
40,683,20200328,인천,51,0,14,5
41,700,20200329,인천,58,0,15,7
42,717,20200330,인천,58,0,15,0
43,734,20200331,인천,64,0,16,6
44,751,20200401,인천,69,0,19,5
45,768,20200402,인천,73,0,19,4
46,785,20200403,인천,74,0,21,1
47,802,20200404,인천,77,0,22,3
48,819,20200405,인천,79,0,25,2
49,836,20200406,인천,80,0,27,1
50,853,20200407,인천,80,0,27,0
51,870,20200408,인천,84,0,27,4
52,887,20200409,인천,84,0,31,0
53,904,20200410,인천,85,0,34,1
54,921,20200411,인천,85,0,35,0
55,938,20200412,인천,86,0,38,1
56,955,20200413,인천,87,0,39,1
57,972,20200414,인천,88,0,42,1
58,989,20200415,인천,88,0,48,0
59,1006,20200416,인천,88,0,51,0
60,1023,20200417,인천,89,0,51,1
61,1040,20200418,인천,90,0,55,1
62,1057,20200419,인천,91,0,55,1
63,1074,20200420,인천,92,0,56,1
64,1091,20200421,인천,92,0,56,0
65,1108,20200422,인천,92,0,57,0
66,1125,20200423,인천,92,0,56,0
67,1142,20200424,인천,92,0,54,0
68,1159,20200425,인천,92,0,55,0
69,1176,20200426,인천,92,0,57,0
70,1193,20200427,인천,92,0,58,0
71,1210,20200428,인천,93,0,63,1
72,1227,20200429,인천,93,0,66,0
73,1244,20200430,인천,93,0,68,0
74,1261,20200501,인천,94,0,69,1
75,1278,20200502,인천,95,0,70,1
76,1295,20200503,인천,95,0,72,0
77,1312,20200504,인천,96,0,72,1
78,1329,20200505,인천,97,0,71,1
79,1346,20200506,인천,97,0,72,0
