,Unnamed: 0,date,region,confirmed,death,released,전북일일확진자
0,12,20200217,전북,1,0,1,0
1,29,20200218,전북,1,0,1,0
2,46,20200219,전북,1,0,1,0
3,63,20200220,전북,1,0,1,0
4,80,20200221,전북,2,0,1,1
5,97,20200222,전북,3,0,1,1
6,114,20200223,전북,3,0,1,0
7,131,20200224,전북,3,0,1,0
8,148,20200225,전북,3,0,1,0
9,165,20200226,전북,3,0,1,0
10,182,20200227,전북,5,0,1,2
11,199,20200228,전북,5,0,1,0
12,216,20200229,전북,5,0,1,0
13,233,20200301,전북,6,0,1,1
14,250,20200302,전북,6,0,1,0
15,267,20200303,전북,7,0,1,1
16,284,20200304,전북,7,0,1,0
17,301,20200305,전북,7,0,2,0
18,318,20200306,전북,7,0,2,0
19,335,20200307,전북,7,0,2,0
20,352,20200308,전북,7,0,2,0
21,369,20200309,전북,7,0,2,0
22,386,20200310,전북,7,0,2,0
23,403,20200311,전북,7,0,2,0
24,420,20200312,전북,7,0,2,0
25,437,20200313,전북,7,0,4,0
26,454,20200314,전북,7,0,4,0
27,471,20200315,전북,7,0,4,0
28,488,20200316,전북,7,0,4,0
29,505,20200317,전북,7,0,4,0
30,522,20200318,전북,9,0,5,2
31,539,20200319,전북,10,0,5,1
32,556,20200320,전북,10,0,7,0
33,573,20200321,전북,10,0,7,0
34,590,20200322,전북,10,0,7,0
35,607,20200323,전북,10,0,7,0
36,624,20200324,전북,10,0,7,0
37,641,20200325,전북,10,0,7,0
38,658,20200326,전북,10,0,7,0
39,675,20200327,전북,10,0,7,0
40,692,20200328,전북,10,0,7,0
41,709,20200329,전북,12,0,7,2
42,726,20200330,전북,13,0,7,1
43,743,20200331,전북,13,0,7,0
44,760,20200401,전북,14,0,7,1
45,777,20200402,전북,14,0,7,0
46,794,20200403,전북,15,0,7,1
47,811,20200404,전북,15,0,7,0
48,828,20200405,전북,16,0,7,1
49,845,20200406,전북,16,0,7,0
50,862,20200407,전북,16,0,7,0
51,879,20200408,전북,17,0,7,1
52,896,20200409,전북,17,0,7,0
53,913,20200410,전북,17,0,8,0
54,930,20200411,전북,17,0,8,0
55,947,20200412,전북,17,0,8,0
56,964,20200413,전북,17,0,8,0
57,981,20200414,전북,17,0,8,0
58,998,20200415,전북,17,0,8,0
59,1015,20200416,전북,17,0,9,0
60,1032,20200417,전북,17,0,9,0
61,1049,20200418,전북,17,0,9,0
62,1066,20200419,전북,17,0,9,0
63,1083,20200420,전북,17,0,9,0
64,1100,20200421,전북,17,0,9,0
65,1117,20200422,전북,17,0,9,0
66,1134,20200423,전북,17,0,9,0
67,1151,20200424,전북,17,0,11,0
68,1168,20200425,전북,17,0,10,0
69,1185,20200426,전북,18,0,10,1
70,1202,20200427,전북,18,0,10,0
71,1219,20200428,전북,18,0,10,0
72,1236,20200429,전북,18,0,10,0
73,1253,20200430,전북,18,0,11,0
74,1270,20200501,전북,18,0,12,0
75,1287,20200502,전북,18,0,12,0
76,1304,20200503,전북,18,0,12,0
77,1321,20200504,전북,18,0,12,0
78,1338,20200505,전북,18,0,12,0
79,1355,20200506,전북,18,0,12,0
80,1372,20200507,전북,18,0,14,0
81,1389,20200508,전북,19,0,14,1
82,1406,20200509,전북,19,0,14,0
83,1423,20200510,전북,19,0,14,0
84,1440,20200511,전북,19,0,14,0
85,1457,20200512,전북,19,0,14,0
86,1474,20200513,전북,20,0,14,1
87,1491,20200514,전북,20,0,14,0
88,1508,20200515,전북,20,0,14,0
89,1525,20200516,전북,20,0,16,0
90,1542,20200517,전북,20,0,16,0
91,1559,20200518,전북,20,0,18,0
92,1576,20200519,전북,20,0,19,0
