,Unnamed: 0,date,region,confirmed,death,released,경기일일확진자
0,8,20200217,경기,11,0,4,0
1,25,20200218,경기,11,0,6,0
2,42,20200219,경기,12,0,6,1
3,59,20200220,경기,12,0,6,0
4,76,20200221,경기,14,0,6,2
5,93,20200222,경기,20,0,7,6
6,110,20200223,경기,24,0,7,4
7,127,20200224,경기,35,0,9,11
8,144,20200225,경기,42,0,9,7
9,161,20200226,경기,51,1,9,9
10,178,20200227,경기,62,1,9,11
11,195,20200228,경기,72,1,9,10
12,212,20200229,경기,82,1,9,10
13,229,20200301,경기,89,1,8,7
14,246,20200302,경기,92,1,8,3
15,263,20200303,경기,94,1,8,2
16,280,20200304,경기,101,1,8,7
17,297,20200305,경기,110,1,10,9
18,314,20200306,경기,120,1,14,10
19,331,20200307,경기,130,1,14,10
20,348,20200308,경기,141,1,16,11
21,365,20200309,경기,152,1,22,11
22,382,20200310,경기,163,1,22,11
23,399,20200311,경기,175,1,25,12
24,416,20200312,경기,178,1,27,3
25,433,20200313,경기,185,2,31,7
26,450,20200314,경기,200,3,36,15
27,467,20200315,경기,211,3,40,11
28,484,20200316,경기,231,3,48,20
29,501,20200317,경기,262,3,55,31
30,518,20200318,경기,277,3,59,15
31,535,20200319,경기,295,3,64,18
32,552,20200320,경기,309,3,66,14
33,569,20200321,경기,321,3,79,12
34,586,20200322,경기,337,3,82,16
35,603,20200323,경기,351,3,88,14
36,620,20200324,경기,366,4,97,15
37,637,20200325,경기,387,4,100,21
38,654,20200326,경기,401,4,122,14
39,671,20200327,경기,412,4,131,11
40,688,20200328,경기,433,5,140,21
41,705,20200329,경기,448,5,144,15
42,722,20200330,경기,463,5,160,15
43,739,20200331,경기,476,6,166,13
44,756,20200401,경기,499,6,171,23
45,773,20200402,경기,516,6,171,17
46,790,20200403,경기,539,6,186,23
47,807,20200404,경기,562,6,200,23
48,824,20200405,경기,572,7,208,10
49,841,20200406,경기,580,7,213,8
50,858,20200407,경기,590,7,226,10
51,875,20200408,경기,596,10,237,6
52,892,20200409,경기,606,11,259,10
53,909,20200410,경기,615,11,269,9
54,926,20200411,경기,624,11,286,9
55,943,20200412,경기,628,12,292,4
56,960,20200413,경기,631,13,305,3
57,977,20200414,경기,639,13,313,8
58,994,20200415,경기,645,13,322,6
59,1011,20200416,경기,649,14,330,4
60,1028,20200417,경기,650,14,340,1
61,1045,20200418,경기,654,14,361,4
62,1062,20200419,경기,654,14,370,0
63,1079,20200420,경기,656,14,387,2
64,1096,20200421,경기,658,14,398,2
65,1113,20200422,경기,658,14,404,0
66,1130,20200423,경기,659,14,424,1
67,1147,20200424,경기,660,14,441,1
68,1164,20200425,경기,662,14,448,2
69,1181,20200426,경기,668,14,463,6
70,1198,20200427,경기,671,14,470,3
71,1215,20200428,경기,674,14,475,3
72,1232,20200429,경기,676,15,481,2
73,1249,20200430,경기,676,15,486,0
74,1266,20200501,경기,678,16,488,2
75,1283,20200502,경기,678,16,498,0
76,1300,20200503,경기,680,16,510,2
77,1317,20200504,경기,681,16,515,1
78,1334,20200505,경기,681,16,518,0
79,1351,20200506,경기,681,16,525,0
80,1368,20200507,경기,682,16,538,1
81,1385,20200508,경기,684,16,538,2
82,1402,20200509,경기,688,16,548,4
83,1419,20200510,경기,694,16,556,6
84,1436,20200511,경기,698,16,557,4
85,1453,20200512,경기,706,16,559,8
86,1470,20200513,경기,708,16,563,2
87,1487,20200514,경기,714,16,577,6
88,1504,20200515,경기,717,16,583,3
89,1521,20200516,경기,721,16,587,4
90,1538,20200517,경기,721,16,598,0
91,1555,20200518,경기,724,16,600,3
92,1572,20200519,경기,725,16,602,1
93,1589,20200520,경기,735,16,611,10
94,1606,20200521,경기,735,17,631,0
95,1623,20200522,경기,741,17,633,6
96,1640,20200523,경기,754,18,636,13
97,1657,20200524,경기,760,18,643,6
98,1674,20200525,경기,766,19,644,6
99,1691,20200526,경기,768,19,645,2
100,1708,20200527,경기,774,19,646,6
101,1725,20200528,경기,795,19,646,21
102,1742,20200529,경기,815,19,647,20
103,1759,20200530,경기,828,19,648,13
104,1776,20200531,경기,840,19,650,12
105,1793,20200601,경기,852,19,657,12
106,1810,20200602,경기,867,19,660,15
107,1827,20200603,경기,879,19,662,12
108,1844,20200604,경기,894,19,665,15
109,1861,20200605,경기,907,19,665,13
110,1878,20200606,경기,915,19,673,8
111,1895,20200607,경기,934,19,678,19
112,1912,20200608,경기,942,19,680,8
113,1929,20200609,경기,955,20,680,13
114,1946,20200610,경기,976,22,682,21
115,1963,20200611,경기,992,22,691,16
116,1980,20200612,경기,1011,22,692,19
117,1997,20200613,경기,1025,22,696,14
118,2014,20200614,경기,1035,22,710,10
