,Unnamed: 0,date,region,confirmed,death,released,경남일일확진자
0,15,20200217,경남,0,0,0,0
1,32,20200218,경남,0,0,0,0
2,49,20200219,경남,0,0,0,0
3,66,20200220,경남,3,0,0,3
4,83,20200221,경남,7,0,0,4
5,100,20200222,경남,7,0,0,0
6,117,20200223,경남,17,0,0,10
7,134,20200224,경남,20,0,0,3
8,151,20200225,경남,23,0,0,3
9,168,20200226,경남,34,0,0,11
10,185,20200227,경남,43,0,0,9
11,202,20200228,경남,49,0,0,6
12,219,20200229,경남,59,0,0,10
13,236,20200301,경남,63,0,0,4
14,253,20200302,경남,64,0,0,1
15,270,20200303,경남,64,0,0,0
16,287,20200304,경남,65,0,3,1
17,304,20200305,경남,74,0,3,9
18,321,20200306,경남,77,0,4,3
19,338,20200307,경남,82,0,4,5
20,355,20200308,경남,83,0,4,1
21,372,20200309,경남,83,0,9,0
22,389,20200310,경남,83,0,10,0
23,406,20200311,경남,84,0,10,1
24,423,20200312,경남,85,0,10,1
25,440,20200313,경남,85,0,11,0
26,457,20200314,경남,85,0,11,0
27,474,20200315,경남,85,0,16,0
28,491,20200316,경남,85,0,20,0
29,508,20200317,경남,86,0,22,1
30,525,20200318,경남,86,0,23,0
31,542,20200319,경남,86,0,29,0
32,559,20200320,경남,87,0,33,1
33,576,20200321,경남,87,0,40,0
34,593,20200322,경남,88,0,42,1
35,610,20200323,경남,89,0,45,1
36,627,20200324,경남,90,0,48,1
37,644,20200325,경남,90,0,51,0
38,661,20200326,경남,90,0,57,0
39,678,20200327,경남,91,0,62,1
40,695,20200328,경남,91,0,63,0
41,712,20200329,경남,94,0,64,3
42,729,20200330,경남,95,0,65,1
43,746,20200331,경남,96,0,67,1
44,763,20200401,경남,100,0,67,4
45,780,20200402,경남,106,0,67,6
46,797,20200403,경남,107,0,71,1
47,814,20200404,경남,108,0,75,1
48,831,20200405,경남,109,0,77,1
49,848,20200406,경남,111,0,80,2
50,865,20200407,경남,112,0,80,1
51,882,20200408,경남,113,0,80,1
52,899,20200409,경남,115,0,82,2
53,916,20200410,경남,115,0,82,0
54,933,20200411,경남,115,0,83,0
55,950,20200412,경남,115,0,84,0
56,967,20200413,경남,115,0,84,0
57,984,20200414,경남,115,0,84,0
58,1001,20200415,경남,115,0,84,0
