,date,region,confirmed,death,released,서울일일확진자
0,20200217,서울,14,0,3,0
1,20200218,서울,14,0,3,0
2,20200219,서울,15,0,5,1
3,20200220,서울,22,0,5,7
4,20200221,서울,27,0,6,5
5,20200222,서울,30,0,6,3
6,20200223,서울,31,0,6,1
7,20200224,서울,35,0,8,4
8,20200225,서울,41,0,8,6
9,20200226,서울,49,0,8,8
10,20200227,서울,56,0,9,7
11,20200228,서울,62,0,9,6
12,20200229,서울,77,0,11,15
13,20200301,서울,87,0,13,10
14,20200302,서울,91,0,13,4
15,20200303,서울,98,0,13,7
16,20200304,서울,99,0,13,1
17,20200305,서울,103,0,25,4
18,20200306,서울,105,0,25,2
19,20200307,서울,108,0,27,3
20,20200308,서울,120,0,28,12
21,20200309,서울,130,0,29,10
22,20200310,서울,141,0,31,11
23,20200311,서울,193,0,37,52
24,20200312,서울,212,0,38,19
25,20200313,서울,225,0,40,13
26,20200314,서울,238,0,44,13
27,20200315,서울,247,0,47,9
28,20200316,서울,253,0,52,6
29,20200317,서울,265,0,55,12
30,20200318,서울,270,0,55,5
31,20200319,서울,282,0,58,12
32,20200320,서울,299,0,64,17
33,20200321,서울,314,0,64,15
34,20200322,서울,324,0,64,10
35,20200323,서울,330,0,64,6
36,20200324,서울,334,0,72,4
37,20200325,서울,347,0,72,13
38,20200326,서울,360,0,80,13
39,20200327,서울,372,0,89,12
40,20200328,서울,390,0,93,18
41,20200329,서울,410,0,93,20
42,20200330,서울,426,0,92,16
43,20200331,서울,450,0,107,24
44,20200401,서울,474,0,117,24
45,20200402,서울,488,0,117,14
46,20200403,서울,506,0,131,18
47,20200404,서울,528,0,144,22
48,20200405,서울,552,0,145,24
49,20200406,서울,563,0,151,11
50,20200407,서울,567,0,164,4
51,20200408,서울,578,2,169,11
52,20200409,서울,590,2,174,12
53,20200410,서울,595,2,185,5
54,20200411,서울,599,2,195,4
55,20200412,서울,602,2,202,3
56,20200413,서울,610,2,214,8
57,20200414,서울,612,2,228,2
58,20200415,서울,617,2,239,5
59,20200416,서울,619,2,250,2
60,20200417,서울,621,2,268,2
61,20200418,서울,622,2,274,1
62,20200419,서울,624,2,288,2
63,20200420,서울,624,2,304,0
64,20200421,서울,626,2,315,2
