,Unnamed: 0,date,region,confirmed,death,released,울산일일확진자
0,6,20200217,울산,0,0,0,0
1,23,20200218,울산,0,0,0,0
2,40,20200219,울산,0,0,0,0
3,57,20200220,울산,0,0,0,0
4,74,20200221,울산,0,0,0,0
5,91,20200222,울산,1,0,0,1
6,108,20200223,울산,1,0,0,0
7,125,20200224,울산,2,0,0,1
8,142,20200225,울산,3,0,0,1
9,159,20200226,울산,4,0,0,1
10,176,20200227,울산,11,0,0,7
11,193,20200228,울산,14,0,0,3
12,210,20200229,울산,17,0,0,3
13,227,20200301,울산,20,0,0,3
14,244,20200302,울산,20,0,0,0
15,261,20200303,울산,20,0,0,0
16,278,20200304,울산,23,0,0,3
17,295,20200305,울산,23,0,0,0
18,312,20200306,울산,23,0,1,0
19,329,20200307,울산,23,0,1,0
20,346,20200308,울산,24,0,1,1
21,363,20200309,울산,24,0,1,0
22,380,20200310,울산,24,0,1,0
23,397,20200311,울산,25,0,2,1
24,414,20200312,울산,25,0,3,0
25,431,20200313,울산,27,0,3,2
26,448,20200314,울산,27,0,5,0
27,465,20200315,울산,28,0,6,1
28,482,20200316,울산,28,0,7,0
29,499,20200317,울산,28,0,8,0
30,516,20200318,울산,30,0,9,2
31,533,20200319,울산,36,0,9,6
32,550,20200320,울산,36,0,11,0
33,567,20200321,울산,36,0,11,0
34,584,20200322,울산,36,0,12,0
35,601,20200323,울산,36,0,17,0
36,618,20200324,울산,36,0,18,0
37,635,20200325,울산,37,0,19,1
38,652,20200326,울산,37,0,20,0
39,669,20200327,울산,39,0,20,2
40,686,20200328,울산,39,0,19,0
41,703,20200329,울산,39,0,19,0
42,720,20200330,울산,39,0,19,0
43,737,20200331,울산,39,0,19,0
44,754,20200401,울산,39,1,20,0
45,771,20200402,울산,40,1,20,1
46,788,20200403,울산,40,1,21,0
47,805,20200404,울산,40,1,24,0
48,822,20200405,울산,40,1,27,0
49,839,20200406,울산,40,1,27,0
50,856,20200407,울산,40,1,28,0
51,873,20200408,울산,40,1,28,0
52,890,20200409,울산,40,1,28,0
53,907,20200410,울산,40,1,28,0
54,924,20200411,울산,41,1,30,1
55,941,20200412,울산,41,1,32,0
56,958,20200413,울산,41,1,33,0
57,975,20200414,울산,42,1,33,1
58,992,20200415,울산,42,1,33,0
59,1009,20200416,울산,42,1,34,0
60,1026,20200417,울산,42,1,34,0
61,1043,20200418,울산,42,1,34,0
62,1060,20200419,울산,42,1,34,0
63,1077,20200420,울산,43,1,34,1
64,1094,20200421,울산,43,1,35,0
65,1111,20200422,울산,43,1,35,0
66,1128,20200423,울산,43,1,36,0
67,1145,20200424,울산,43,1,36,0
68,1162,20200425,울산,43,1,36,0
69,1179,20200426,울산,43,1,36,0
70,1196,20200427,울산,43,1,36,0
71,1213,20200428,울산,43,1,36,0
72,1230,20200429,울산,43,1,37,0
73,1247,20200430,울산,43,1,37,0
74,1264,20200501,울산,43,1,37,0
75,1281,20200502,울산,43,1,37,0
76,1298,20200503,울산,43,1,37,0
77,1315,20200504,울산,44,1,37,1
78,1332,20200505,울산,44,1,38,0
79,1349,20200506,울산,44,1,37,0
80,1366,20200507,울산,44,1,37,0
81,1383,20200508,울산,44,1,37,0
82,1400,20200509,울산,44,1,38,0
83,1417,20200510,울산,44,1,38,0
84,1434,20200511,울산,44,1,38,0
85,1451,20200512,울산,44,1,40,0
86,1468,20200513,울산,45,1,41,1
87,1485,20200514,울산,45,1,41,0
88,1502,20200515,울산,45,1,39,0
89,1519,20200516,울산,45,1,40,0
90,1536,20200517,울산,45,1,41,0
91,1553,20200518,울산,45,1,41,0
92,1570,20200519,울산,49,1,41,4
93,1587,20200520,울산,49,1,42,0
94,1604,20200521,울산,49,1,42,0
95,1621,20200522,울산,50,1,42,1
96,1638,20200523,울산,50,1,42,0
97,1655,20200524,울산,50,1,42,0
98,1672,20200525,울산,50,1,42,0
99,1689,20200526,울산,50,1,42,0
100,1706,20200527,울산,50,1,42,0
101,1723,20200528,울산,50,1,44,0
102,1740,20200529,울산,50,1,44,0
103,1757,20200530,울산,50,1,44,0
104,1774,20200531,울산,52,1,45,2
105,1791,20200601,울산,52,1,45,0
106,1808,20200602,울산,52,1,45,0
107,1825,20200603,울산,52,1,45,0
108,1842,20200604,울산,52,1,46,0
109,1859,20200605,울산,52,1,46,0
110,1876,20200606,울산,52,1,46,0
111,1893,20200607,울산,53,1,46,1
112,1910,20200608,울산,53,1,46,0
113,1927,20200609,울산,53,1,46,0
114,1944,20200610,울산,53,1,47,0
115,1961,20200611,울산,53,1,47,0
116,1978,20200612,울산,53,1,47,0
117,1995,20200613,울산,53,1,47,0
118,2012,20200614,울산,53,1,47,0
119,2029,20200615,울산,53,1,47,0
120,2046,20200616,울산,53,1,47,0
121,2063,20200617,울산,53,1,47,0
122,2080,20200618,울산,53,1,48,0
123,2097,20200619,울산,53,1,48,0
124,2114,20200620,울산,53,1,48,0
125,2131,20200621,울산,53,1,48,0
126,2148,20200622,울산,53,1,48,0
127,2165,20200623,울산,53,1,48,0
128,2182,20200624,울산,55,1,48,2
129,2199,20200625,울산,55,1,48,0
130,2216,20200626,울산,55,1,49,0
131,2233,20200627,울산,55,1,50,0
132,2250,20200628,울산,55,1,50,0
133,2267,20200629,울산,55,1,50,0
134,2284,20200630,울산,55,1,50,0
135,2301,20200701,울산,55,1,52,0
136,2318,20200702,울산,55,1,52,0
137,2335,20200703,울산,55,1,52,0
138,2352,20200704,울산,55,1,52,0
139,2369,20200705,울산,55,1,52,0
140,2386,20200706,울산,55,1,53,0
141,2403,20200707,울산,55,1,53,0
142,2420,20200708,울산,55,1,53,0
143,2437,20200709,울산,55,1,53,0
144,2454,20200710,울산,55,1,53,0
145,2471,20200711,울산,55,1,53,0
146,2488,20200712,울산,55,1,53,0
147,2505,20200713,울산,55,1,53,0
148,2522,20200714,울산,55,1,53,0
149,2539,20200715,울산,55,1,53,0
150,2556,20200716,울산,56,1,53,1
151,2573,20200717,울산,56,1,53,0
152,2590,20200718,울산,57,1,53,1
153,2607,20200719,울산,57,1,53,0
154,2624,20200720,울산,57,1,53,0
155,2641,20200721,울산,57,1,53,0
156,2658,20200722,울산,57,1,53,0
157,2675,20200723,울산,57,1,53,0
158,2692,20200724,울산,57,1,53,0
159,2709,20200725,울산,58,1,53,1
160,2726,20200726,울산,58,1,53,0
161,2743,20200727,울산,58,1,53,0
162,2760,20200728,울산,58,1,53,0
163,2777,20200729,울산,59,1,53,1
164,2794,20200730,울산,59,1,53,0
165,2811,20200731,울산,59,1,53,0
166,2828,20200801,울산,59,1,53,0
167,2845,20200802,울산,59,1,54,0
168,2862,20200803,울산,59,1,54,0
169,2879,20200804,울산,59,1,54,0
170,2896,20200805,울산,59,1,56,0
171,2913,20200806,울산,59,1,56,0
172,2930,20200807,울산,59,1,56,0
173,2947,20200808,울산,59,1,56,0
174,2964,20200809,울산,60,1,56,1
175,2981,20200810,울산,60,1,56,0
176,2998,20200811,울산,60,1,56,0
177,3015,20200812,울산,60,1,56,0
178,3032,20200813,울산,61,1,56,1
179,3049,20200814,울산,62,1,56,1
180,3066,20200815,울산,62,1,56,0
181,3083,20200816,울산,65,1,56,3
182,3100,20200817,울산,65,1,56,0
183,3117,20200818,울산,68,1,56,3
184,3134,20200819,울산,68,1,56,0
185,3151,20200820,울산,68,1,57,0
186,3168,20200821,울산,69,1,57,1
187,3185,20200822,울산,72,1,58,3
188,3202,20200823,울산,75,1,58,3
189,3219,20200824,울산,76,1,58,1
190,3236,20200825,울산,76,1,59,0
191,3253,20200826,울산,78,1,60,2
192,3270,20200827,울산,80,1,61,2
193,3287,20200828,울산,81,1,61,1
194,3304,20200829,울산,81,1,63,0
195,3321,20200830,울산,84,1,63,3
196,3338,20200831,울산,89,1,63,5
197,3355,20200901,울산,95,1,63,6
198,3372,20200902,울산,100,1,63,5
199,3389,20200903,울산,108,1,66,8
200,3406,20200904,울산,111,1,67,3
201,3423,20200905,울산,112,1,67,1
202,3440,20200906,울산,113,1,69,1
203,3457,20200907,울산,116,1,69,3
204,3474,20200908,울산,119,1,70,3
205,3491,20200909,울산,123,1,73,4
206,3508,20200910,울산,127,1,75,4
207,3525,20200911,울산,132,1,79,5
208,3542,20200912,울산,133,1,81,1
209,3559,20200913,울산,140,1,85,7
210,3576,20200914,울산,141,1,87,1
211,3593,20200915,울산,141,1,97,0
212,3610,20200916,울산,141,1,102,0
213,3627,20200917,울산,141,1,105,0
214,3644,20200918,울산,141,1,108,0
215,3661,20200919,울산,141,2,108,0
216,3678,20200920,울산,142,2,116,1
217,3695,20200921,울산,142,2,117,0
218,3712,20200922,울산,143,2,124,1
219,3729,20200923,울산,145,2,127,2
220,3746,20200924,울산,145,2,131,0
221,3763,20200925,울산,145,2,132,0
222,3780,20200926,울산,145,2,132,0
223,3797,20200927,울산,145,2,134,0
224,3814,20200928,울산,146,2,134,1
225,3831,20200929,울산,146,2,135,0
