,날짜,region,confirmed,death,부산일일확진자,부산일일사망자,사망률,부산 평균기온(℃)
0,2020-02-17,부산,0,0,0,0,0.0,0.1
1,2020-02-18,부산,0,0,0,0,0.0,1.2
2,2020-02-19,부산,0,0,0,0,0.0,6.1
3,2020-02-20,부산,8,0,8,0,0.0,9.3
4,2020-02-21,부산,8,0,0,0,0.0,11.0
5,2020-02-22,부산,11,0,3,0,0.0,9.5
6,2020-02-23,부산,19,0,8,0,0.0,6.0
7,2020-02-24,부산,34,0,15,0,0.0,10.8
8,2020-02-25,부산,42,0,8,0,0.0,9.7
9,2020-02-26,부산,58,0,16,0,0.0,9.5
10,2020-02-27,부산,61,0,3,0,0.0,6.8
11,2020-02-28,부산,65,0,4,0,0.0,6.9
12,2020-02-29,부산,80,0,15,0,0.0,9.5
13,2020-03-01,부산,83,0,3,0,0.0,10.8
14,2020-03-02,부산,88,0,5,0,0.0,8.5
15,2020-03-03,부산,90,0,2,0,0.0,8.7
16,2020-03-04,부산,93,0,3,0,0.0,7.9
17,2020-03-05,부산,92,0,-1,0,0.0,5.1
18,2020-03-06,부산,95,0,3,0,0.0,8.1
19,2020-03-07,부산,96,0,1,0,0.0,8.2
20,2020-03-08,부산,97,0,1,0,0.0,10.4
21,2020-03-09,부산,96,0,-1,0,0.0,11.0
22,2020-03-10,부산,96,0,0,0,0.0,9.9
23,2020-03-11,부산,98,0,2,0,0.0,7.8
24,2020-03-12,부산,99,0,1,0,0.0,9.5
25,2020-03-13,부산,100,0,1,0,0.0,11.6
26,2020-03-14,부산,103,0,3,0,0.0,8.2
27,2020-03-15,부산,106,1,3,1,0.94,7.7
28,2020-03-16,부산,107,1,1,0,0.93,6.6
29,2020-03-17,부산,107,1,0,0,0.93,11.1
30,2020-03-18,부산,107,1,0,0,0.93,12.2
31,2020-03-19,부산,107,1,0,0,0.93,12.6
32,2020-03-20,부산,108,1,1,0,0.93,10.4
33,2020-03-21,부산,108,1,0,0,0.93,13.7
34,2020-03-22,부산,108,1,0,0,0.93,14.1
35,2020-03-23,부산,109,1,1,0,0.92,12.6
36,2020-03-24,부산,111,1,2,0,0.9,11.5
37,2020-03-25,부산,112,1,1,0,0.89,13.0
38,2020-03-26,부산,112,2,0,1,1.79,14.5
39,2020-03-27,부산,113,2,1,0,1.77,13.7
40,2020-03-28,부산,114,2,1,0,1.75,9.4
41,2020-03-29,부산,117,3,3,1,2.56,10.4
42,2020-03-30,부산,118,3,1,0,2.54,11.6
43,2020-03-31,부산,119,3,1,0,2.52,12.9
