,날짜,region,confirmed,death,충북일일확진자,충북일일사망자,사망률,충북 평균기온(℃)
0,2020-02-17,충북,0,0,0,0,0.0,-4.6
1,2020-02-18,충북,0,0,0,0,0.0,-3.4
2,2020-02-19,충북,0,0,0,0,0.0,0.3
3,2020-02-20,충북,0,0,0,0,0.0,3.4
4,2020-02-21,충북,1,0,1,0,0.0,5.4
5,2020-02-22,충북,3,0,2,0,0.0,5.0
6,2020-02-23,충북,3,0,0,0,0.0,2.2
7,2020-02-24,충북,3,0,0,0,0.0,5.5
8,2020-02-25,충북,5,0,2,0,0.0,5.6
9,2020-02-26,충북,5,0,0,0,0.0,6.4
10,2020-02-27,충북,8,0,3,0,0.0,4.7
11,2020-02-28,충북,9,0,1,0,0.0,3.1
12,2020-02-29,충북,10,0,1,0,0.0,6.0
13,2020-03-01,충북,11,0,1,0,0.0,6.0
14,2020-03-02,충북,11,0,0,0,0.0,4.2
15,2020-03-03,충북,11,0,0,0,0.0,5.9
16,2020-03-04,충북,11,0,0,0,0.0,2.7
17,2020-03-05,충북,12,0,1,0,0.0,1.2
18,2020-03-06,충북,15,0,3,0,0.0,2.6
19,2020-03-07,충북,20,0,5,0,0.0,4.2
20,2020-03-08,충북,24,0,4,0,0.0,6.7
21,2020-03-09,충북,25,0,1,0,0.0,8.3
22,2020-03-10,충북,25,0,0,0,0.0,6.6
23,2020-03-11,충북,27,0,2,0,0.0,3.6
24,2020-03-12,충북,27,0,0,0,0.0,5.6
25,2020-03-13,충북,27,0,0,0,0.0,5.6
26,2020-03-14,충북,28,0,1,0,0.0,3.9
27,2020-03-15,충북,31,0,3,0,0.0,3.8
28,2020-03-16,충북,31,0,0,0,0.0,3.4
29,2020-03-17,충북,31,0,0,0,0.0,5.3
30,2020-03-18,충북,32,0,1,0,0.0,7.8
31,2020-03-19,충북,33,0,1,0,0.0,7.5
32,2020-03-20,충북,33,0,0,0,0.0,8.0
33,2020-03-21,충북,34,0,1,0,0.0,13.0
34,2020-03-22,충북,35,0,1,0,0.0,12.3
35,2020-03-23,충북,37,0,2,0,0.0,9.6
36,2020-03-24,충북,38,0,1,0,0.0,9.2
37,2020-03-25,충북,38,0,0,0,0.0,11.5
38,2020-03-26,충북,39,0,1,0,0.0,13.0
39,2020-03-27,충북,41,0,2,0,0.0,11.0
40,2020-03-28,충북,41,0,0,0,0.0,6.4
41,2020-03-29,충북,41,0,0,0,0.0,7.6
42,2020-03-30,충북,44,0,3,0,0.0,10.2
43,2020-03-31,충북,44,0,0,0,0.0,11.0
44,2020-04-01,충북,44,0,0,0,0.0,10.5
45,2020-04-02,충북,44,0,0,0,0.0,8.6
46,2020-04-03,충북,45,0,1,0,0.0,9.5
47,2020-04-04,충북,45,0,0,0,0.0,7.9
48,2020-04-05,충북,45,0,0,0,0.0,6.2
49,2020-04-06,충북,45,0,0,0,0.0,8.4
50,2020-04-07,충북,45,0,0,0,0.0,10.9
51,2020-04-08,충북,45,0,0,0,0.0,8.6
52,2020-04-09,충북,45,0,0,0,0.0,8.0
53,2020-04-10,충북,45,0,0,0,0.0,10.0
54,2020-04-11,충북,45,0,0,0,0.0,8.6
55,2020-04-12,충북,45,0,0,0,0.0,7.4
56,2020-04-13,충북,45,0,0,0,0.0,9.1
57,2020-04-14,충북,45,0,0,0,0.0,11.7
58,2020-04-15,충북,45,0,0,0,0.0,12.2
59,2020-04-16,충북,45,0,0,0,0.0,13.8
60,2020-04-17,충북,45,0,0,0,0.0,11.3
61,2020-04-18,충북,45,0,0,0,0.0,12.5
62,2020-04-19,충북,45,0,0,0,0.0,10.1
63,2020-04-20,충북,45,0,0,0,0.0,10.1
64,2020-04-21,충북,45,0,0,0,0.0,7.4
65,2020-04-22,충북,45,0,0,0,0.0,6.0
66,2020-04-23,충북,45,0,0,0,0.0,7.4
67,2020-04-24,충북,45,0,0,0,0.0,9.0
68,2020-04-25,충북,45,0,0,0,0.0,13.2
69,2020-04-26,충북,45,0,0,0,0.0,11.5
70,2020-04-27,충북,45,0,0,0,0.0,10.6
71,2020-04-28,충북,45,0,0,0,0.0,12.5
72,2020-04-29,충북,45,0,0,0,0.0,15.0
73,2020-04-30,충북,45,0,0,0,0.0,16.4
74,2020-05-01,충북,45,0,0,0,0.0,21.1
