지역,누적확진자,평균기온,위도,경도
부산,6221,21.86,35.16445001,129.07179999
충북,3306,21.77,36.9910113,127.9259497
충남,3804,21.97,36.53734655,126.7938283
대구,10598,23.19,35.87974996,128.56670003
대전,2651,23.50,36.37310004,127.38879997
강원,3559,21.43,37.86651785,128.24775232
광주,2937,23.29,35.17670012,126.84379975
경북,4949,21.62,36.5626987,128.7092904
경남,5247,22.12,35.1815533,128.3910463
경기,44059,21.86,37.2787948,126.9908305
인천,6767,21.64,37.46454996,126.67435005
제주,1264,23.43,33.3609563,126.4634106
전북,2364,22.58,35.7275835,126.93001935
전남,1648,22.41,34.6961318,126.4980174
세종,560,22.56,36.4801319,127.2887648
서울,49987,22.82,37.56385597,126.97408637
울산,2824,21.66,35.56205007,129.35149993
