,날짜,region,confirmed,death,제주일일확진자,제주일일사망자,사망률,제주 평균기온(℃)
0,2020-02-17,제주,0,0,0,0,0.0,2.1
1,2020-02-18,제주,0,0,0,0,0.0,5.1
2,2020-02-19,제주,0,0,0,0,0.0,7.2
3,2020-02-20,제주,0,0,0,0,0.0,10.1
4,2020-02-21,제주,0,0,0,0,0.0,12.6
5,2020-02-22,제주,1,0,1,0,0.0,10.9
6,2020-02-23,제주,2,0,1,0,0.0,8.0
7,2020-02-24,제주,2,0,0,0,0.0,12.2
8,2020-02-25,제주,2,0,0,0,0.0,16.3
9,2020-02-26,제주,2,0,0,0,0.0,12.4
10,2020-02-27,제주,2,0,0,0,0.0,10.6
11,2020-02-28,제주,2,0,0,0,0.0,10.2
12,2020-02-29,제주,2,0,0,0,0.0,11.7
13,2020-03-01,제주,2,0,0,0,0.0,11.9
14,2020-03-02,제주,2,0,0,0,0.0,9.2
15,2020-03-03,제주,3,0,1,0,0.0,11.3
16,2020-03-04,제주,3,0,0,0,0.0,9.1
17,2020-03-05,제주,4,0,1,0,0.0,6.8
18,2020-03-06,제주,4,0,0,0,0.0,8.7
19,2020-03-07,제주,4,0,0,0,0.0,10.8
20,2020-03-08,제주,4,0,0,0,0.0,12.0
21,2020-03-09,제주,4,0,0,0,0.0,13.1
22,2020-03-10,제주,4,0,0,0,0.0,10.5
23,2020-03-11,제주,4,0,0,0,0.0,8.7
24,2020-03-12,제주,4,0,0,0,0.0,9.7
25,2020-03-13,제주,4,0,0,0,0.0,12.0
26,2020-03-14,제주,4,0,0,0,0.0,9.0
27,2020-03-15,제주,4,0,0,0,0.0,11.0
28,2020-03-16,제주,4,0,0,0,0.0,7.5
29,2020-03-17,제주,4,0,0,0,0.0,12.2
30,2020-03-18,제주,4,0,0,0,0.0,13.6
31,2020-03-19,제주,4,0,0,0,0.0,13.7
32,2020-03-20,제주,4,0,0,0,0.0,11.7
33,2020-03-21,제주,4,0,0,0,0.0,16.8
34,2020-03-22,제주,4,0,0,0,0.0,15.9
35,2020-03-23,제주,4,0,0,0,0.0,14.1
36,2020-03-24,제주,4,0,0,0,0.0,13.1
37,2020-03-25,제주,6,0,2,0,0.0,15.9
38,2020-03-26,제주,6,0,0,0,0.0,17.3
39,2020-03-27,제주,7,0,1,0,0.0,13.9
40,2020-03-28,제주,8,0,1,0,0.0,9.9
41,2020-03-29,제주,8,0,0,0,0.0,11.4
42,2020-03-30,제주,9,0,1,0,0.0,13.6
43,2020-03-31,제주,9,0,0,0,0.0,14.2
44,2020-04-01,제주,9,0,0,0,0.0,12.9
45,2020-04-02,제주,9,0,0,0,0.0,12.6
