,날짜,region,confirmed,death,전북일일확진자,전북일일사망자,사망률,전북 평균기온(℃)
0,2020-02-17,전북,1,0,0,0,0.0,-2.3
1,2020-02-18,전북,1,0,0,0,0.0,-1.6
2,2020-02-19,전북,1,0,0,0,0.0,2.6
3,2020-02-20,전북,1,0,0,0,0.0,5.3
4,2020-02-21,전북,2,0,1,0,0.0,8.5
5,2020-02-22,전북,3,0,1,0,0.0,6.4
6,2020-02-23,전북,3,0,0,0,0.0,3.3
7,2020-02-24,전북,3,0,0,0,0.0,8.1
8,2020-02-25,전북,3,0,0,0,0.0,8.3
9,2020-02-26,전북,3,0,0,0,0.0,7.5
10,2020-02-27,전북,5,0,2,0,0.0,5.9
11,2020-02-28,전북,5,0,0,0,0.0,5.9
12,2020-02-29,전북,5,0,0,0,0.0,7.1
13,2020-03-01,전북,6,0,1,0,0.0,5.6
14,2020-03-02,전북,6,0,0,0,0.0,4.6
15,2020-03-03,전북,7,0,1,0,0.0,6.1
16,2020-03-04,전북,7,0,0,0,0.0,3.7
17,2020-03-05,전북,7,0,0,0,0.0,2.1
18,2020-03-06,전북,7,0,0,0,0.0,3.5
19,2020-03-07,전북,7,0,0,0,0.0,6.3
20,2020-03-08,전북,7,0,0,0,0.0,7.5
21,2020-03-09,전북,7,0,0,0,0.0,8.3
22,2020-03-10,전북,7,0,0,0,0.0,6.2
23,2020-03-11,전북,7,0,0,0,0.0,4.4
24,2020-03-12,전북,7,0,0,0,0.0,6.3
25,2020-03-13,전북,7,0,0,0,0.0,5.8
26,2020-03-14,전북,7,0,0,0,0.0,5.1
27,2020-03-15,전북,7,0,0,0,0.0,5.9
28,2020-03-16,전북,7,0,0,0,0.0,4.0
29,2020-03-17,전북,7,0,0,0,0.0,8.3
30,2020-03-18,전북,9,0,2,0,0.0,11.4
31,2020-03-19,전북,10,0,1,0,0.0,10.3
32,2020-03-20,전북,10,0,0,0,0.0,9.6
33,2020-03-21,전북,10,0,0,0,0.0,15.4
34,2020-03-22,전북,10,0,0,0,0.0,11.7
35,2020-03-23,전북,10,0,0,0,0.0,8.5
36,2020-03-24,전북,10,0,0,0,0.0,9.4
37,2020-03-25,전북,10,0,0,0,0.0,13.4
38,2020-03-26,전북,10,0,0,0,0.0,14.8
39,2020-03-27,전북,10,0,0,0,0.0,9.2
40,2020-03-28,전북,10,0,0,0,0.0,6.7
41,2020-03-29,전북,12,0,2,0,0.0,7.1
42,2020-03-30,전북,13,0,1,0,0.0,9.8
43,2020-03-31,전북,13,0,0,0,0.0,10.0
44,2020-04-01,전북,14,0,1,0,0.0,9.3
45,2020-04-02,전북,14,0,0,0,0.0,8.7
46,2020-04-03,전북,15,0,1,0,0.0,8.7
47,2020-04-04,전북,15,0,0,0,0.0,7.8
48,2020-04-05,전북,16,0,1,0,0.0,6.3
49,2020-04-06,전북,16,0,0,0,0.0,7.8
50,2020-04-07,전북,16,0,0,0,0.0,10.0
51,2020-04-08,전북,17,0,1,0,0.0,9.1
52,2020-04-09,전북,17,0,0,0,0.0,8.0
53,2020-04-10,전북,17,0,0,0,0.0,9.4
54,2020-04-11,전북,17,0,0,0,0.0,7.6
55,2020-04-12,전북,17,0,0,0,0.0,8.0
56,2020-04-13,전북,17,0,0,0,0.0,9.0
57,2020-04-14,전북,17,0,0,0,0.0,11.0
58,2020-04-15,전북,17,0,0,0,0.0,11.0
59,2020-04-16,전북,17,0,0,0,0.0,15.2
60,2020-04-17,전북,17,0,0,0,0.0,14.0
61,2020-04-18,전북,17,0,0,0,0.0,11.0
62,2020-04-19,전북,17,0,0,0,0.0,10.8
63,2020-04-20,전북,17,0,0,0,0.0,10.7
64,2020-04-21,전북,17,0,0,0,0.0,8.7
65,2020-04-22,전북,17,0,0,0,0.0,7.8
66,2020-04-23,전북,17,0,0,0,0.0,8.8
67,2020-04-24,전북,17,0,0,0,0.0,10.7
68,2020-04-25,전북,17,0,0,0,0.0,14.4
69,2020-04-26,전북,18,0,1,0,0.0,11.8
70,2020-04-27,전북,18,0,0,0,0.0,11.2
71,2020-04-28,전북,18,0,0,0,0.0,12.3
72,2020-04-29,전북,18,0,0,0,0.0,14.3
73,2020-04-30,전북,18,0,0,0,0.0,18.6
74,2020-05-01,전북,18,0,0,0,0.0,22.3
75,2020-05-02,전북,18,0,0,0,0.0,20.9
76,2020-05-03,전북,18,0,0,0,0.0,19.4
77,2020-05-04,전북,18,0,0,0,0.0,17.0
78,2020-05-05,전북,18,0,0,0,0.0,14.2
79,2020-05-06,전북,18,0,0,0,0.0,18.8
80,2020-05-07,전북,18,0,0,0,0.0,19.4
81,2020-05-08,전북,19,0,1,0,0.0,18.3
82,2020-05-09,전북,19,0,0,0,0.0,17.0
83,2020-05-10,전북,19,0,0,0,0.0,14.1
84,2020-05-11,전북,19,0,0,0,0.0,17.5
85,2020-05-12,전북,19,0,0,0,0.0,15.6
86,2020-05-13,전북,20,0,1,0,0.0,15.5
87,2020-05-14,전북,20,0,0,0,0.0,20.3
88,2020-05-15,전북,20,0,0,0,0.0,18.3
89,2020-05-16,전북,20,0,0,0,0.0,16.6
90,2020-05-17,전북,20,0,0,0,0.0,19.4
91,2020-05-18,전북,20,0,0,0,0.0,18.6
92,2020-05-19,전북,20,0,0,0,0.0,13.5
93,2020-05-20,전북,21,0,1,0,0.0,14.8
94,2020-05-21,전북,21,0,0,0,0.0,17.2
95,2020-05-22,전북,21,0,0,0,0.0,19.1
96,2020-05-23,전북,21,0,0,0,0.0,20.0
97,2020-05-24,전북,21,0,0,0,0.0,17.7
98,2020-05-25,전북,21,0,0,0,0.0,16.2
99,2020-05-26,전북,21,0,0,0,0.0,17.6
100,2020-05-27,전북,21,0,0,0,0.0,17.8
101,2020-05-28,전북,21,0,0,0,0.0,17.5
102,2020-05-29,전북,21,0,0,0,0.0,20.3
103,2020-05-30,전북,21,0,0,0,0.0,21.8
104,2020-05-31,전북,21,0,0,0,0.0,20.2
105,2020-06-01,전북,21,0,0,0,0.0,19.1
106,2020-06-02,전북,21,0,0,0,0.0,19.8
107,2020-06-03,전북,21,0,0,0,0.0,23.0
108,2020-06-04,전북,21,0,0,0,0.0,23.8
109,2020-06-05,전북,21,0,0,0,0.0,22.9
110,2020-06-06,전북,21,0,0,0,0.0,22.2
111,2020-06-07,전북,21,0,0,0,0.0,22.6
112,2020-06-08,전북,21,0,0,0,0.0,24.7
113,2020-06-09,전북,21,0,0,0,0.0,26.2
114,2020-06-10,전북,21,0,0,0,0.0,25.2
115,2020-06-11,전북,21,0,0,0,0.0,24.3
116,2020-06-12,전북,21,0,0,0,0.0,23.0
117,2020-06-13,전북,21,0,0,0,0.0,24.1
118,2020-06-14,전북,21,0,0,0,0.0,22.6
119,2020-06-15,전북,21,0,0,0,0.0,21.9
120,2020-06-16,전북,21,0,0,0,0.0,22.3
121,2020-06-17,전북,21,0,0,0,0.0,21.6
122,2020-06-18,전북,22,0,1,0,0.0,19.5
123,2020-06-19,전북,22,0,0,0,0.0,22.2
124,2020-06-20,전북,23,0,1,0,0.0,22.3
125,2020-06-21,전북,23,0,0,0,0.0,23.6
126,2020-06-22,전북,24,0,1,0,0.0,24.3
127,2020-06-23,전북,24,0,0,0,0.0,25.3
128,2020-06-24,전북,25,0,1,0,0.0,23.5
129,2020-06-25,전북,25,0,0,0,0.0,21.9
130,2020-06-26,전북,25,0,0,0,0.0,22.6
131,2020-06-27,전북,26,0,1,0,0.0,24.0
132,2020-06-28,전북,26,0,0,0,0.0,22.7
133,2020-06-29,전북,27,0,1,0,0.0,21.7
134,2020-06-30,전북,27,0,0,0,0.0,19.8
135,2020-07-01,전북,27,0,0,0,0.0,21.1
136,2020-07-02,전북,27,0,0,0,0.0,22.7
137,2020-07-03,전북,28,0,1,0,0.0,20.9
138,2020-07-04,전북,28,0,0,0,0.0,19.9
139,2020-07-05,전북,29,0,1,0,0.0,22.4
140,2020-07-06,전북,29,0,0,0,0.0,22.8
141,2020-07-07,전북,30,0,1,0,0.0,23.5
142,2020-07-08,전북,32,0,2,0,0.0,23.4
143,2020-07-09,전북,33,0,1,0,0.0,25.3
144,2020-07-10,전북,33,0,0,0,0.0,25.3
145,2020-07-11,전북,35,0,2,0,0.0,24.5
146,2020-07-12,전북,36,0,1,0,0.0,22.0
147,2020-07-13,전북,36,0,0,0,0.0,21.4
