,날짜,region,confirmed,death,광주일일확진자,광주일일사망자,사망률,광주 평균기온(℃)
0,2020-02-17,광주,2,0,0,0,0.0,-2.0
1,2020-02-18,광주,2,0,0,0,0.0,0.5
2,2020-02-19,광주,2,0,0,0,0.0,3.7
3,2020-02-20,광주,3,0,1,0,0.0,7.6
4,2020-02-21,광주,3,0,0,0,0.0,9.3
5,2020-02-22,광주,6,0,3,0,0.0,7.2
6,2020-02-23,광주,8,0,2,0,0.0,5.0
7,2020-02-24,광주,9,0,1,0,0.0,8.3
8,2020-02-25,광주,9,0,0,0,0.0,12.4
9,2020-02-26,광주,9,0,0,0,0.0,8.8
10,2020-02-27,광주,9,0,0,0,0.0,7.2
11,2020-02-28,광주,9,0,0,0,0.0,6.9
12,2020-02-29,광주,9,0,0,0,0.0,9.3
13,2020-03-01,광주,9,0,0,0,0.0,6.9
14,2020-03-02,광주,9,0,0,0,0.0,6.0
15,2020-03-03,광주,11,0,2,0,0.0,7.8
16,2020-03-04,광주,13,0,2,0,0.0,4.9
17,2020-03-05,광주,14,0,1,0,0.0,3.7
18,2020-03-06,광주,13,0,-1,0,0.0,5.7
19,2020-03-07,광주,13,0,0,0,0.0,5.7
20,2020-03-08,광주,13,0,0,0,0.0,9.6
21,2020-03-09,광주,15,0,2,0,0.0,9.4
22,2020-03-10,광주,15,0,0,0,0.0,6.7
23,2020-03-11,광주,15,0,0,0,0.0,5.6
24,2020-03-12,광주,15,0,0,0,0.0,7.5
25,2020-03-13,광주,15,0,0,0,0.0,8.0
26,2020-03-14,광주,15,0,0,0,0.0,5.9
27,2020-03-15,광주,16,0,1,0,0.0,7.0
28,2020-03-16,광주,16,0,0,0,0.0,5.4
29,2020-03-17,광주,16,0,0,0,0.0,9.2
30,2020-03-18,광주,17,0,1,0,0.0,12.5
31,2020-03-19,광주,17,0,0,0,0.0,10.3
32,2020-03-20,광주,18,0,1,0,0.0,10.6
33,2020-03-21,광주,18,0,0,0,0.0,14.2
34,2020-03-22,광주,19,0,1,0,0.0,14.6
35,2020-03-23,광주,19,0,0,0,0.0,10.8
36,2020-03-24,광주,19,0,0,0,0.0,11.4
37,2020-03-25,광주,19,0,0,0,0.0,14.2
38,2020-03-26,광주,19,0,0,0,0.0,13.7
39,2020-03-27,광주,20,0,1,0,0.0,10.5
40,2020-03-28,광주,20,0,0,0,0.0,7.3
41,2020-03-29,광주,20,0,0,0,0.0,9.0
42,2020-03-30,광주,20,0,0,0,0.0,11.9
43,2020-03-31,광주,20,0,0,0,0.0,12.8
44,2020-04-01,광주,24,0,4,0,0.0,10.7
45,2020-04-02,광주,25,0,1,0,0.0,10.6
46,2020-04-03,광주,26,0,1,0,0.0,10.9
47,2020-04-04,광주,26,0,0,0,0.0,8.9
48,2020-04-05,광주,27,0,1,0,0.0,7.8
49,2020-04-06,광주,27,0,0,0,0.0,9.6
50,2020-04-07,광주,27,0,0,0,0.0,12.1
51,2020-04-08,광주,27,0,0,0,0.0,11.1
52,2020-04-09,광주,27,0,0,0,0.0,9.8
53,2020-04-10,광주,27,0,0,0,0.0,10.7
54,2020-04-11,광주,27,0,0,0,0.0,7.8
55,2020-04-12,광주,27,0,0,0,0.0,8.6
56,2020-04-13,광주,27,0,0,0,0.0,9.5
57,2020-04-14,광주,27,0,0,0,0.0,12.5
58,2020-04-15,광주,28,0,1,0,0.0,12.9
59,2020-04-16,광주,28,0,0,0,0.0,14.6
60,2020-04-17,광주,30,0,2,0,0.0,13.4
61,2020-04-18,광주,30,0,0,0,0.0,13.0
