날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg2.5
0,2021-01-01,16,14,15,16,17,19,11,19,12,24,27,19,11,15,11,10,31,16.88235294117647
1,2021-01-02,11,19,20,11,20,17,17,12,12,23,21,21,15,19,15,14,23,17.058823529411764
2,2021-01-03,14,13,15,14,20,17,12,16,12,21,21,19,16,16,13,20,21,16.470588235294116
3,2021-01-04,22,25,26,22,32,22,21,24,16,28,32,29,24,25,22,23,32,25.0
4,2021-01-05,15,28,25,13,28,18,24,15,14,23,23,25,21,25,23,18,21,21.11764705882353
5,2021-01-06,13,11,12,13,12,12,10,13,9,17,17,12,9,13,10,14,17,12.588235294117647
6,2021-01-07,11,12,10,10,11,8,9,10,9,11,11,7,8,11,8,8,9,9.588235294117647
7,2021-01-08,10,11,9,10,14,10,7,10,7,14,15,15,10,9,9,6,14,10.588235294117647
8,2021-01-09,15,11,10,14,16,12,7,15,11,17,19,19,11,11,10,7,18,13.117647058823529
9,2021-01-10,22,13,14,19,22,16,10,21,16,24,24,22,14,14,12,10,24,17.470588235294116
10,2021-01-11,32,22,26,33,27,29,18,36,21,35,37,31,18,21,19,14,42,27.11764705882353
11,2021-01-12,47,23,32,37,35,30,19,48,31,42,43,33,22,27,22,20,49,32.94117647058823
12,2021-01-13,45,33,38,34,40,27,34,43,40,41,36,31,27,37,29,22,42,35.23529411764706
13,2021-01-14,29,29,37,25,40,29,28,31,28,41,34,38,32,31,28,19,42,31.823529411764707
14,2021-01-15,34,21,31,29,36,27,22,35,31,39,36,31,25,27,22,15,39,29.41176470588235
15,2021-01-16,35,33,37,31,26,28,33,34,34,36,29,26,24,37,29,22,29,30.764705882352942
16,2021-01-17,13,10,9,11,12,8,8,12,11,12,12,9,9,11,8,9,9,10.176470588235293
17,2021-01-18,17,25,22,16,25,17,24,19,17,21,24,21,20,21,20,25,21,20.88235294117647
18,2021-01-19,15,15,13,15,14,11,11,16,13,16,17,12,12,13,11,8,15,13.352941176470589
19,2021-01-20,25,18,27,24,20,20,16,28,23,28,28,20,15,21,17,8,32,21.764705882352942
20,2021-01-21,30,22,41,32,24,31,28,37,26,40,37,25,18,30,21,12,48,29.529411764705884
21,2021-01-22,31,27,47,24,22,22,30,31,20,38,38,28,21,32,29,13,41,29.058823529411764
22,2021-01-23,8,13,13,11,20,14,13,8,6,15,20,25,17,15,17,11,17,14.294117647058824
23,2021-01-24,9,11,9,10,11,6,11,9,9,10,12,10,10,10,10,11,11,9.941176470588236
24,2021-01-25,16,8,14,22,15,9,8,18,13,14,18,15,11,11,11,7,15,13.235294117647058
25,2021-01-26,28,10,15,30,18,12,9,28,17,18,26,23,10,12,10,7,20,17.235294117647058
26,2021-01-27,18,17,20,15,18,19,16,20,16,26,22,20,14,19,14,16,21,18.294117647058822
27,2021-01-28,16,18,19,16,21,14,15,16,15,18,19,18,16,17,17,18,17,17.058823529411764
28,2021-01-29,9,11,9,10,13,9,8,9,7,9,12,10,10,9,9,10,9,9.588235294117647
29,2021-01-30,23,24,25,24,27,20,22,25,20,24,33,32,18,22,22,14,23,23.41176470588235
30,2021-01-31,27,28,25,24,32,20,20,29,21,27,31,31,24,19,25,11,28,24.823529411764707
