,날짜,avg2.5
0,2021-01-01,16.88
1,2021-01-02,17.06
2,2021-01-03,16.47
3,2021-01-04,25.0
4,2021-01-05,21.12
5,2021-01-06,12.59
6,2021-01-07,9.59
7,2021-01-08,10.59
8,2021-01-09,13.12
9,2021-01-10,17.47
10,2021-01-11,27.12
11,2021-01-12,32.94
12,2021-01-13,35.24
13,2021-01-14,31.82
14,2021-01-15,29.41
15,2021-01-16,30.76
16,2021-01-17,10.18
17,2021-01-18,20.88
18,2021-01-19,13.35
19,2021-01-20,21.76
20,2021-01-21,29.53
21,2021-01-22,29.06
22,2021-01-23,14.29
23,2021-01-24,9.94
24,2021-01-25,13.24
25,2021-01-26,17.24
26,2021-01-27,18.29
27,2021-01-28,17.06
28,2021-01-29,9.59
29,2021-01-30,23.41
30,2021-01-31,24.82
