날짜,avg10
0,2021-04-01,56.76
1,2021-04-02,48.71
2,2021-04-03,32.82
3,2021-04-04,11.53
4,2021-04-05,20.12
5,2021-04-06,34.41
6,2021-04-07,47.41
7,2021-04-08,36.71
8,2021-04-09,30.41
9,2021-04-10,27.59
10,2021-04-11,32.47
11,2021-04-12,26.94
12,2021-04-13,16.41
13,2021-04-14,26.29
14,2021-04-15,35.41
15,2021-04-16,47.18
16,2021-04-17,86.94
17,2021-04-18,31.35
18,2021-04-19,42.76
19,2021-04-20,56.53
20,2021-04-21,63.53
21,2021-04-22,60.0
22,2021-04-23,37.24
23,2021-04-24,27.47
24,2021-04-25,29.53
25,2021-04-26,24.65
26,2021-04-27,30.53
27,2021-04-28,62.94
28,2021-04-29,72.88
29,2021-04-30,45.0
