날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg10
0,2021-06-01,38,31,49,35,45,40,29,42,34,39,37,42,40,36,36,35,37,37.94117647058823
1,2021-06-02,50,44,60,51,40,46,49,52,38,45,46,47,41,52,44,33,47,46.1764705882353
2,2021-06-03,31,25,30,34,15,26,31,35,29,29,28,19,15,33,24,11,27,26.0
3,2021-06-04,26,20,20,25,19,25,21,30,22,24,27,24,17,22,18,15,24,22.294117647058822
4,2021-06-05,45,40,47,57,50,60,43,53,37,50,58,62,42,42,40,41,51,48.11764705882353
5,2021-06-06,61,42,56,60,47,51,52,63,45,58,47,55,38,56,42,32,45,50.0
6,2021-06-07,37,35,54,39,43,41,50,44,39,42,35,46,29,48,33,21,38,39.64705882352941
7,2021-06-08,40,32,48,41,28,46,39,44,29,44,31,48,25,44,32,21,45,37.470588235294116
8,2021-06-09,41,33,49,55,32,41,38,49,30,42,47,48,33,42,34,23,46,40.1764705882353
9,2021-06-10,53,42,48,60,33,42,45,58,37,40,45,47,33,44,37,27,42,43.11764705882353
10,2021-06-11,19,19,21,15,14,22,22,22,22,23,17,16,16,24,17,10,23,18.941176470588236
11,2021-06-12,21,7,24,24,31,29,13,26,19,32,34,35,23,22,14,15,32,23.58823529411765
12,2021-06-13,30,18,31,21,30,40,23,31,16,36,31,37,25,24,20,20,38,27.705882352941178
13,2021-06-14,39,19,34,28,31,41,19,38,16,35,39,45,27,24,24,30,39,31.058823529411764
14,2021-06-15,26,12,21,29,20,22,13,30,12,21,30,35,17,18,19,18,23,21.529411764705884
15,2021-06-16,10,10,11,13,10,9,10,13,10,11,16,13,11,14,10,15,11,11.588235294117647
16,2021-06-17,17,15,20,18,17,13,12,19,15,14,15,17,14,19,15,19,13,16.0
17,2021-06-18,17,23,31,15,13,12,27,19,15,13,13,14,15,22,24,17,12,17.764705882352942
18,2021-06-19,42,39,31,44,28,28,33,47,26,38,37,33,27,28,31,25,29,33.294117647058826
19,2021-06-20,51,42,36,62,35,34,43,57,35,39,46,40,34,35,36,36,38,41.11764705882353
20,2021-06-21,41,37,31,42,32,40,33,47,32,46,48,50,34,33,32,36,37,38.294117647058826
21,2021-06-22,23,21,32,37,30,24,18,32,14,24,33,36,30,24,28,31,26,27.235294117647058
22,2021-06-23,18,18,27,27,29,27,14,23,13,21,30,39,25,19,25,28,24,23.941176470588236
23,2021-06-24,31,17,28,39,24,27,17,36,18,28,35,35,21,21,22,31,27,26.88235294117647
24,2021-06-25,38,24,39,46,24,27,27,43,26,34,32,32,25,30,28,22,27,30.823529411764707
25,2021-06-26,21,22,36,27,21,18,25,24,21,19,24,22,23,29,25,26,18,23.58823529411765
26,2021-06-27,19,24,33,23,25,22,25,24,21,24,30,29,26,28,26,32,25,25.647058823529413
27,2021-06-28,24,28,30,28,29,23,25,28,21,24,36,37,30,29,29,28,27,28.0
28,2021-06-29,30,23,27,40,31,24,23,36,21,25,38,37,28,27,27,25,28,28.823529411764707
29,2021-06-30,36,23,35,42,29,31,22,43,24,32,40,34,26,29,28,24,37,31.470588235294116
