,,날짜,avg10
0,0,2021-01-01,25.59
1,1,2021-01-02,34.35
2,2,2021-01-03,37.29
3,3,2021-01-04,41.59
4,4,2021-01-05,33.82
5,5,2021-01-06,22.47
6,6,2021-01-07,23.65
7,7,2021-01-08,18.0
8,8,2021-01-09,20.88
9,9,2021-01-10,26.0
10,10,2021-01-11,37.94
11,11,2021-01-12,45.47
12,12,2021-01-13,90.53
13,13,2021-01-14,81.29
14,14,2021-01-15,66.06
15,15,2021-01-16,67.47
16,16,2021-01-17,17.94
17,17,2021-01-18,41.24
18,18,2021-01-19,27.41
19,19,2021-01-20,37.53
20,20,2021-01-21,44.18
21,21,2021-01-22,37.0
22,22,2021-01-23,21.59
23,23,2021-01-24,17.06
24,24,2021-01-25,22.94
25,25,2021-01-26,24.47
26,26,2021-01-27,36.0
27,27,2021-01-28,37.41
28,28,2021-01-29,26.65
29,29,2021-01-30,60.24
30,30,2021-01-31,53.76
