,날짜,부산 평균기온(℃),부산누적확진자,부산월별확진자,충북 평균기온(℃),충북누적확진자,충북월별확진자,충남 평균기온(℃),충남누적확진자,충남월별확진자,대구 평균기온(℃),대구누적확진자,대구월별확진자,대전 평균기온(℃),대전누적확진자,대전월별확진자,강원 평균기온(℃),강원누적확진자,강원월별확진자,경북 평균기온(℃),경북누적확진자,경북월별확진자,경기 평균기온(℃),경기누적확진자,경기월별확진자,경남 평균기온(℃),경남누적확진자,경남월별확진자,인천 평균기온(℃),인천누적확진자,인천월별확진자,제주 평균기온(℃),제주누적확진자,제주월별확진자,전북 평균기온(℃),전북누적확진자,전북월별확진자,전남 평균기온(℃),전남누적확진자,전남월별확진자,광주 평균기온(℃),광주누적확진자,광주월별확진자,세종 평균기온(℃),세종누적확진자,세종월별확진자,서울 평균기온(℃),서울누적확진자,서울월별확진자,울산 평균기온(℃),울산누적확진자,울산월별확진자
0,2020-02,7.415384615384616,80,80,3.0461538461538464,10,10,3.792307692307692,55,55,5.438461538461539,2236,2236,4.746153846153846,,13,3.6346153846153846,7,7,4.546153846153846,488,488,2.1461538461538465,82,82,5.6923076923076925,488,488,3.607692307692308,6,6,9.953846153846154,2,2,5.0,5,5,2.1461538461538465,3,3,6.476923076923077,9,9,4.038461538461538,1,1,3.630769230769231,77,77,6.338461538461539,17,17
1,2020-03,10.441935483870967,119,39,7.02258064516129,44,34,6.909677419354838,128,73,9.464516129032257,6684,4448,8.496774193548386,,23,7.590322580645162,36,29,8.387096774193548,1300,812,6.693548387096774,476,394,9.093548387096773,1300,812,7.061290322580645,64,58,11.890322580645162,9,7,7.774193548387097,13,8,6.693548387096774,9,6,8.993548387096775,20,11,7.780645161290322,46,45,7.735483870967743,450,373,9.638709677419357,39,22
2,2020-04,12.62,137,18,10.146666666666668,45,1,9.883333333333333,143,15,12.573333333333332,6852,168,11.533333333333331,,4,10.873333333333331,53,17,11.53,1365,65,10.213333333333331,676,200,11.766666666666667,1365,65,10.436666666666667,93,29,13.563333333333333,13,4,10.4,18,5,10.213333333333331,15,6,11.486666666666668,30,10,10.82,46,0,11.123333333333331,633,183,12.256666666666666,43,4
3,2020-05,17.87741935483871,147,10,17.59032258064516,60,15,17.36774193548387,146,3,19.432258064516127,6883,31,18.82258064516129,,6,17.64032258064516,57,4,17.990322580645163,1379,14,17.1,840,164,18.206451612903223,1379,14,16.661290322580644,206,113,18.741935483870968,15,2,17.96451612903226,21,3,17.1,19,4,18.825806451612905,32,2,18.154838709677417,47,1,18.006451612903227,861,228,18.135483870967743,52,9
4,2020-06,22.433333333333334,154,7,22.896666666666665,65,5,22.396666666666665,167,21,24.496666666666663,6906,23,24.11,,71,23.336666666666662,65,8,22.98,1389,10,22.78333333333333,1207,367,23.0,1389,10,21.790000000000003,341,135,22.44333333333333,19,4,22.756666666666668,27,6,22.78333333333333,24,5,23.55,44,12,23.183333333333334,50,3,23.886666666666667,1312,451,22.73,55,3
5,2020-07,22.11935483870968,171,17,22.53548387096774,73,8,22.9741935483871,190,23,23.151612903225807,6940,34,23.635483870967743,,49,22.596774193548388,74,9,22.07741935483871,1401,12,22.958064516129035,1546,339,22.461290322580645,1401,12,23.203225806451613,383,42,23.835483870967742,26,7,23.154838709677417,39,12,22.958064516129035,38,14,23.361290322580647,204,160,23.203225806451613,50,0,24.14516129032258,1600,288,22.135483870967743,59,4
6,2020-08,27.21935483870968,297,126,25.85483870967742,128,55,26.45483870967742,332,142,28.55483870967742,7047,107,27.54516129032258,,90,26.029032258064515,189,115,26.73548387096774,1455,54,25.280645161290323,3260,1714,27.096774193548388,1455,54,25.851612903225806,718,335,28.406451612903226,45,19,27.39354838709677,87,48,25.280645161290323,142,104,27.606451612903225,374,170,26.80967741935484,67,17,26.51935483870968,3867,2267,27.60322580645161,89,30
7,2020-09,21.936666666666667,421,124,19.246666666666663,171,43,20.24,484,152,21.206666666666667,7132,85,21.183333333333334,,104,19.813333333333333,224,35,19.96,1551,96,19.53,4384,1124,20.51333333333333,1551,96,21.346666666666668,916,198,22.53333333333333,59,14,20.923333333333336,128,41,19.53,169,27,21.290000000000003,495,121,20.540000000000003,76,9,21.39333333333333,5293,1426,21.14,147,58
8,2020-10,17.280645161290323,592,171,12.203225806451613,189,18,13.083870967741936,541,57,15.412903225806453,7174,42,14.216129032258063,,82,13.191935483870967,279,55,14.006451612903223,1587,36,12.048387096774194,5043,659,14.819354838709677,1587,36,14.77741935483871,1045,126,18.4741935483871,59,2,14.40967741935484,166,38,12.048387096774194,185,16,15.651612903225804,511,16,13.438709677419354,82,6,14.290322580645162,6011,718,15.90967741935484,163,16
9,2020-11,12.4,809,217,6.976666666666668,327,138,7.803333333333333,899,358,9.73,7232,58,8.623333333333333,,52,8.365,652,373,8.813333333333333,1704,117,6.303333333333333,7277,2234,9.68,1704,117,8.29,1409,364,14.62,80,21,9.283333333333331,334,168,6.303333333333333,424,239,10.54,696,185,8.046666666666667,100,18,8.026666666666667,8812,2801,10.993333333333334,198,35
