,날짜,경기 평균기온(℃),경기누적확진자,경기월별확진자
0,2020-02,2.1461538461538465,82,82
1,2020-03,6.693548387096774,476,394
2,2020-04,10.213333333333331,676,200
3,2020-05,17.1,840,164
4,2020-06,22.78333333333333,1207,367
5,2020-07,22.958064516129035,1546,339
6,2020-08,25.280645161290323,3260,1714
7,2020-09,19.53,4384,1124
8,2020-10,12.048387096774194,5043,659
9,2020-11,6.303333333333333,7277,2234
10,2020-12,-2.232258064516129,14450,7173
11,2021-01,-3.676774193548387,19803,5353
12,2021-02,1.6178571428571429,23550,3747
13,2021-03,7.896129032258065,28579,5029
14,2021-04,13.163333333333332,34196,5617
15,2021-05,16.06,39081,4885
16,2021-06,21.856,44059,4978
