,날짜,경북 평균기온(℃),경북누적확진자,경북월별확진자
0,2020-02,4.546153846153846,488,488
1,2020-03,8.387096774193548,1300,812
2,2020-04,11.53,1365,65
3,2020-05,17.990322580645163,1379,14
4,2020-06,22.98,1389,10
5,2020-07,22.07741935483871,1401,12
6,2020-08,26.73548387096774,1455,54
7,2020-09,19.96,1551,96
8,2020-10,14.006451612903223,1587,36
9,2020-11,8.813333333333333,1704,117
10,2020-12,0.8064516129032258,2424,720
11,2021-01,-0.6193548387096774,3017,593
12,2021-02,3.914285714285714,3253,236
13,2021-03,9.14516129032258,3504,251
14,2021-04,13.103333333333332,4110,606
15,2021-05,16.738709677419354,4692,582
16,2021-06,21.62,4949,257
