,날짜,대구 평균기온(℃),대구누적확진자,대구월별확진자
0,2020-02,5.438461538461539,2236,2236
1,2020-03,9.464516129032257,6684,4448
2,2020-04,12.573333333333332,6852,168
3,2020-05,19.432258064516127,6883,31
4,2020-06,24.496666666666663,6906,23
5,2020-07,23.151612903225807,6940,34
6,2020-08,28.55483870967742,7047,107
7,2020-09,21.206666666666667,7132,85
8,2020-10,15.412903225806453,7174,42
9,2020-11,9.73,7232,58
10,2020-12,1.5516129032258066,7801,569
11,2021-01,0.4677419354838709,8308,507
12,2021-02,4.825,8623,315
13,2021-03,10.238709677419354,8927,304
14,2021-04,14.516666666666667,9351,424
15,2021-05,18.293548387096774,9916,565
16,2021-06,23.19333333333333,10598,682
