,날짜,울산 평균기온(℃),울산누적확진자,울산월별확진자
0,2020-02,6.338461538461539,17,17
1,2020-03,9.638709677419357,39,22
2,2020-04,12.256666666666666,43,4
3,2020-05,18.135483870967743,52,9
4,2020-06,22.73,55,3
5,2020-07,22.135483870967743,59,4
6,2020-08,27.60322580645161,89,30
7,2020-09,21.14,147,58
8,2020-10,15.90967741935484,163,16
9,2020-11,10.993333333333334,198,35
10,2020-12,3.390322580645161,673,475
11,2021-01,2.07741935483871,937,264
12,2021-02,6.5321428571428575,1013,76
13,2021-03,10.493548387096777,1154,141
14,2021-04,13.823333333333332,1879,725
15,2021-05,17.758064516129032,2578,699
16,2021-06,21.66333333333333,2824,246
