,날짜,인천 평균기온(℃),인천누적확진자,인천월별확진자
0,2020-02,3.607692307692308,6,6
1,2020-03,7.061290322580645,64,58
2,2020-04,10.436666666666667,93,29
3,2020-05,16.661290322580644,206,113
4,2020-06,21.790000000000003,341,135
5,2020-07,23.203225806451613,383,42
6,2020-08,25.851612903225806,718,335
7,2020-09,21.346666666666668,916,198
8,2020-10,14.77741935483871,1045,126
9,2020-11,8.29,1409,364
10,2020-12,0.2483870967741935,2839,1430
11,2021-01,-2.05483870967742,3813,974
12,2021-02,2.075,4431,618
13,2021-03,7.729032258064516,5058,627
14,2021-04,13.153333333333334,5665,607
15,2021-05,16.164516129032258,6198,533
16,2021-06,21.64333333333333,6767,569
