,날짜,제주 평균기온(℃),제주누적확진자,제주월별확진자
0,2020-02,9.953846153846154,2,2
1,2020-03,11.890322580645162,9,7
2,2020-04,13.563333333333333,13,4
3,2020-05,18.741935483870968,15,2
4,2020-06,22.44333333333333,19,4
5,2020-07,23.835483870967742,26,7
6,2020-08,28.406451612903226,45,19
7,2020-09,22.53333333333333,59,14
8,2020-10,18.4741935483871,59,2
9,2020-11,14.62,80,21
10,2020-12,7.980645161290322,416,336
11,2021-01,6.787096774193548,522,106
12,2021-02,9.360714285714286,570,48
13,2021-03,12.480645161290322,625,55
14,2021-04,15.443333333333332,707,82
15,2021-05,19.04516129032258,1030,323
16,2021-06,23.433333333333334,1264,234
