,날짜,충남 평균기온(℃),충남누적확진자,충남월별확진자
0,2020-02,3.792307692307692,55,55
1,2020-03,6.909677419354838,128,73
2,2020-04,9.883333333333333,143,15
3,2020-05,17.36774193548387,146,3
4,2020-06,22.396666666666665,167,21
5,2020-07,22.9741935483871,190,23
6,2020-08,26.45483870967742,332,142
7,2020-09,20.24,484,152
8,2020-10,13.083870967741936,541,57
9,2020-11,7.803333333333333,899,358
10,2020-12,-0.0548387096774193,1653,754
11,2021-01,-1.729032258064516,2016,363
12,2021-02,2.771428571428572,2444,428
13,2021-03,8.016129032258064,2631,187
14,2021-04,13.1,3033,402
15,2021-05,16.270967741935483,3538,505
16,2021-06,21.973333333333336,3804,266
