,날짜,충북 평균기온(℃),충북누적확진자,충북월별확진자
0,2020-02,3.0461538461538464,10,10
1,2020-03,7.02258064516129,44,34
2,2020-04,10.146666666666668,45,1
3,2020-05,17.59032258064516,60,15
4,2020-06,22.896666666666665,65,5
5,2020-07,22.53548387096774,73,8
6,2020-08,25.85483870967742,128,55
7,2020-09,19.246666666666663,171,43
8,2020-10,12.203225806451613,189,18
9,2020-11,6.976666666666668,327,138
10,2020-12,-1.564516129032258,1163,836
11,2021-01,-2.861290322580645,1574,411
12,2021-02,2.175,1756,182
13,2021-03,8.012903225806452,2190,434
14,2021-04,12.946666666666664,2628,438
15,2021-05,16.02258064516129,2943,315
16,2021-06,21.766666666666666,3306,363
