,Unnamed: 1,날짜,부산
0,0.0,2021-01-01,20
1,1.0,2021-01-02,32
2,2.0,2021-01-03,27
3,3.0,2021-01-04,41
4,4.0,2021-01-05,42
5,5.0,2021-01-06,19
6,6.0,2021-01-07,26
7,7.0,2021-01-08,17
8,8.0,2021-01-09,17
9,9.0,2021-01-10,19
10,10.0,2021-01-11,33
11,11.0,2021-01-12,34
12,12.0,2021-01-13,96
13,13.0,2021-01-14,76
14,14.0,2021-01-15,54
15,15.0,2021-01-16,75
16,16.0,2021-01-17,19
17,17.0,2021-01-18,47
18,18.0,2021-01-19,28
19,19.0,2021-01-20,31
20,20.0,2021-01-21,35
21,21.0,2021-01-22,35
22,22.0,2021-01-23,23
23,23.0,2021-01-24,22
24,24.0,2021-01-25,17
25,25.0,2021-01-26,16
26,26.0,2021-01-27,28
27,27.0,2021-01-28,39
28,28.0,2021-01-29,29
29,29.0,2021-01-30,71
30,30.0,2021-01-31,58
31,,2021-02-01,45
32,,2021-02-02,48
33,,2021-02-03,26
34,,2021-02-04,34
35,,2021-02-05,26
36,,2021-02-06,44
37,,2021-02-07,73
38,,2021-02-08,25
39,,2021-02-09,22
40,,2021-02-10,45
41,,2021-02-11,54
42,,2021-02-12,48
43,,2021-02-13,45
44,,2021-02-14,41
45,,2021-02-15,28
46,,2021-02-16,22
47,,2021-02-17,23
48,,2021-02-18,27
49,,2021-02-19,34
50,,2021-02-20,59
51,,2021-02-21,56
52,,2021-02-22,44
53,,2021-02-23,26
54,,2021-02-24,32
55,,2021-02-25,33
56,,2021-02-26,21
57,,2021-02-27,24
58,,2021-02-28,24
59,,2021-03-01,26
60,,2021-03-02,13
61,,2021-03-03,25
62,,2021-03-04,32
63,,2021-03-05,28
64,,2021-03-06,32
65,,2021-03-07,20
66,,2021-03-08,26
67,,2021-03-09,29
68,,2021-03-10,52
69,,2021-03-11,39
70,,2021-03-12,17
71,,2021-03-13,49
72,,2021-03-14,49
73,,2021-03-15,52
74,,2021-03-16,54
75,,2021-03-17,87
76,,2021-03-18,69
77,,2021-03-19,37
78,,2021-03-20,19
79,,2021-03-21,32
80,,2021-03-22,32
81,,2021-03-23,82
82,,2021-03-24,65
83,,2021-03-25,47
84,,2021-03-26,62
85,,2021-03-27,48
86,,2021-03-28,19
87,,2021-03-29,478
88,,2021-03-30,166
89,,2021-03-31,74
90,,2021-04-01,67
91,,2021-04-02,45
92,,2021-04-03,42
93,,2021-04-04,15
94,,2021-04-05,21
95,,2021-04-06,27
96,,2021-04-07,42
97,,2021-04-08,42
98,,2021-04-09,29
99,,2021-04-10,17
100,,2021-04-11,16
101,,2021-04-12,22
102,,2021-04-13,18
103,,2021-04-14,25
104,,2021-04-15,34
105,,2021-04-16,33
106,,2021-04-17,63
107,,2021-04-18,30
108,,2021-04-19,41
109,,2021-04-20,56
110,,2021-04-21,69
111,,2021-04-22,53
112,,2021-04-23,34
113,,2021-04-24,27
114,,2021-04-25,28
115,,2021-04-26,18
116,,2021-04-27,25
117,,2021-04-28,31
118,,2021-04-29,65
119,,2021-04-30,64
120,,2021-05-01,22
121,,2021-05-02,20
122,,2021-05-03,20
123,,2021-05-04,24
124,,2021-05-05,36
125,,2021-05-06,51
126,,2021-05-07,64
127,,2021-05-08,205
128,,2021-05-09,97
129,,2021-05-10,27
130,,2021-05-11,21
131,,2021-05-12,26
132,,2021-05-13,24
133,,2021-05-14,23
134,,2021-05-15,14
135,,2021-05-16,9
136,,2021-05-17,13
137,,2021-05-18,14
138,,2021-05-19,36
139,,2021-05-20,19
140,,2021-05-21,16
141,,2021-05-22,21
142,,2021-05-23,37
143,,2021-05-24,28
144,,2021-05-25,70
145,,2021-05-26,36
146,,2021-05-27,23
147,,2021-05-28,40
148,,2021-05-29,26
149,,2021-05-30,29
150,,2021-05-31,27
151,,2021-06-01,31
152,,2021-06-02,44
153,,2021-06-03,25
154,,2021-06-04,20
155,,2021-06-05,40
156,,2021-06-06,42
157,,2021-06-07,35
158,,2021-06-08,32
159,,2021-06-09,33
160,,2021-06-10,42
161,,2021-06-11,19
162,,2021-06-12,7
163,,2021-06-13,18
164,,2021-06-14,19
165,,2021-06-15,12
166,,2021-06-16,10
167,,2021-06-17,15
168,,2021-06-18,23
169,,2021-06-19,39
170,,2021-06-20,42
171,,2021-06-21,37
172,,2021-06-22,21
173,,2021-06-23,18
174,,2021-06-24,17
175,,2021-06-25,24
176,,2021-06-26,22
177,,2021-06-27,24
178,,2021-06-28,28
179,,2021-06-29,23
180,,2021-06-30,23
