,,날짜,부산
0,0,2021-01-01,20
1,1,2021-01-02,32
2,2,2021-01-03,27
3,3,2021-01-04,41
4,4,2021-01-05,42
5,5,2021-01-06,19
6,6,2021-01-07,26
7,7,2021-01-08,17
8,8,2021-01-09,17
9,9,2021-01-10,19
10,10,2021-01-11,33
11,11,2021-01-12,34
12,12,2021-01-13,96
13,13,2021-01-14,76
14,14,2021-01-15,54
15,15,2021-01-16,75
16,16,2021-01-17,19
17,17,2021-01-18,47
18,18,2021-01-19,28
19,19,2021-01-20,31
20,20,2021-01-21,35
21,21,2021-01-22,35
22,22,2021-01-23,23
23,23,2021-01-24,22
24,24,2021-01-25,17
25,25,2021-01-26,16
26,26,2021-01-27,28
27,27,2021-01-28,39
28,28,2021-01-29,29
29,29,2021-01-30,71
30,30,2021-01-31,58
