,날짜,부산
0,2021-06-01,31
1,2021-06-02,44
2,2021-06-03,25
3,2021-06-04,20
4,2021-06-05,40
5,2021-06-06,42
6,2021-06-07,35
7,2021-06-08,32
8,2021-06-09,33
9,2021-06-10,42
10,2021-06-11,19
11,2021-06-12,7
12,2021-06-13,18
13,2021-06-14,19
14,2021-06-15,12
15,2021-06-16,10
16,2021-06-17,15
17,2021-06-18,23
18,2021-06-19,39
19,2021-06-20,42
20,2021-06-21,37
21,2021-06-22,21
22,2021-06-23,18
23,2021-06-24,17
24,2021-06-25,24
25,2021-06-26,22
26,2021-06-27,24
27,2021-06-28,28
28,2021-06-29,23
29,2021-06-30,23
