,Unnamed: 1,날짜,충북
0,0.0,2021-01-01,33
1,1.0,2021-01-02,42
2,2.0,2021-01-03,45
3,3.0,2021-01-04,45
4,4.0,2021-01-05,37
5,5.0,2021-01-06,27
6,6.0,2021-01-07,24
7,7.0,2021-01-08,22
8,8.0,2021-01-09,26
9,9.0,2021-01-10,34
10,10.0,2021-01-11,47
11,11.0,2021-01-12,56
12,12.0,2021-01-13,85
13,13.0,2021-01-14,105
14,14.0,2021-01-15,80
15,15.0,2021-01-16,74
16,16.0,2021-01-17,19
17,17.0,2021-01-18,36
18,18.0,2021-01-19,30
19,19.0,2021-01-20,46
20,20.0,2021-01-21,60
21,21.0,2021-01-22,47
22,22.0,2021-01-23,21
23,23.0,2021-01-24,17
24,24.0,2021-01-25,24
25,25.0,2021-01-26,26
26,26.0,2021-01-27,46
27,27.0,2021-01-28,38
28,28.0,2021-01-29,26
29,29.0,2021-01-30,54
30,30.0,2021-01-31,54
31,,2021-02-01,76
32,,2021-02-02,35
33,,2021-02-03,32
34,,2021-02-04,27
35,,2021-02-05,33
36,,2021-02-06,60
37,,2021-02-07,80
38,,2021-02-08,26
39,,2021-02-09,27
40,,2021-02-10,40
41,,2021-02-11,66
42,,2021-02-12,63
43,,2021-02-13,70
44,,2021-02-14,60
45,,2021-02-15,41
46,,2021-02-16,21
47,,2021-02-17,31
48,,2021-02-18,37
49,,2021-02-19,42
50,,2021-02-20,67
51,,2021-02-21,62
52,,2021-02-22,56
53,,2021-02-23,47
54,,2021-02-24,52
55,,2021-02-25,55
56,,2021-02-26,39
57,,2021-02-27,20
58,,2021-02-28,24
59,,2021-03-01,19
60,,2021-03-02,11
61,,2021-03-03,30
62,,2021-03-04,37
63,,2021-03-05,43
64,,2021-03-06,33
65,,2021-03-07,26
66,,2021-03-08,55
67,,2021-03-09,55
68,,2021-03-10,60
69,,2021-03-11,67
70,,2021-03-12,51
71,,2021-03-13,40
72,,2021-03-14,63
73,,2021-03-15,59
74,,2021-03-16,85
75,,2021-03-17,88
76,,2021-03-18,83
77,,2021-03-19,43
78,,2021-03-20,26
79,,2021-03-21,49
80,,2021-03-22,38
81,,2021-03-23,88
82,,2021-03-24,59
83,,2021-03-25,65
84,,2021-03-26,80
85,,2021-03-27,47
86,,2021-03-28,16
87,,2021-03-29,315
88,,2021-03-30,149
89,,2021-03-31,47
90,,2021-04-01,54
91,,2021-04-02,46
92,,2021-04-03,36
93,,2021-04-04,10
94,,2021-04-05,20
95,,2021-04-06,40
96,,2021-04-07,47
97,,2021-04-08,38
98,,2021-04-09,27
99,,2021-04-10,33
100,,2021-04-11,43
101,,2021-04-12,28
102,,2021-04-13,17
103,,2021-04-14,31
104,,2021-04-15,36
105,,2021-04-16,41
106,,2021-04-17,92
107,,2021-04-18,31
108,,2021-04-19,48
109,,2021-04-20,66
110,,2021-04-21,68
111,,2021-04-22,63
112,,2021-04-23,31
113,,2021-04-24,24
114,,2021-04-25,27
115,,2021-04-26,19
116,,2021-04-27,36
117,,2021-04-28,74
118,,2021-04-29,66
119,,2021-04-30,35
120,,2021-05-01,33
121,,2021-05-02,17
122,,2021-05-03,25
123,,2021-05-04,33
124,,2021-05-05,41
125,,2021-05-06,67
126,,2021-05-07,206
127,,2021-05-08,402
128,,2021-05-09,92
129,,2021-05-10,20
130,,2021-05-11,20
131,,2021-05-12,19
132,,2021-05-13,31
133,,2021-05-14,48
134,,2021-05-15,28
135,,2021-05-16,10
136,,2021-05-17,11
137,,2021-05-18,30
138,,2021-05-19,39
139,,2021-05-20,28
140,,2021-05-21,11
141,,2021-05-22,28
142,,2021-05-23,32
143,,2021-05-24,87
144,,2021-05-25,102
145,,2021-05-26,39
146,,2021-05-27,33
147,,2021-05-28,33
148,,2021-05-29,25
149,,2021-05-30,33
150,,2021-05-31,34
151,,2021-06-01,39
152,,2021-06-02,45
153,,2021-06-03,29
154,,2021-06-04,24
155,,2021-06-05,50
156,,2021-06-06,58
157,,2021-06-07,42
158,,2021-06-08,44
159,,2021-06-09,42
160,,2021-06-10,40
161,,2021-06-11,23
162,,2021-06-12,32
163,,2021-06-13,36
164,,2021-06-14,35
165,,2021-06-15,21
166,,2021-06-16,11
167,,2021-06-17,14
168,,2021-06-18,13
169,,2021-06-19,38
170,,2021-06-20,39
171,,2021-06-21,46
172,,2021-06-22,24
173,,2021-06-23,21
174,,2021-06-24,28
175,,2021-06-25,34
176,,2021-06-26,19
177,,2021-06-27,24
178,,2021-06-28,24
179,,2021-06-29,25
180,,2021-06-30,32
