,,날짜,충북
0,0,2021-01-01,33
1,1,2021-01-02,42
2,2,2021-01-03,45
3,3,2021-01-04,45
4,4,2021-01-05,37
5,5,2021-01-06,27
6,6,2021-01-07,24
7,7,2021-01-08,22
8,8,2021-01-09,26
9,9,2021-01-10,34
10,10,2021-01-11,47
11,11,2021-01-12,56
12,12,2021-01-13,85
13,13,2021-01-14,105
14,14,2021-01-15,80
15,15,2021-01-16,74
16,16,2021-01-17,19
17,17,2021-01-18,36
18,18,2021-01-19,30
19,19,2021-01-20,46
20,20,2021-01-21,60
21,21,2021-01-22,47
22,22,2021-01-23,21
23,23,2021-01-24,17
24,24,2021-01-25,24
25,25,2021-01-26,26
26,26,2021-01-27,46
27,27,2021-01-28,38
28,28,2021-01-29,26
29,29,2021-01-30,54
30,30,2021-01-31,54
