,날짜,충북
0,2021-03-01,19
1,2021-03-02,11
2,2021-03-03,30
3,2021-03-04,37
4,2021-03-05,43
5,2021-03-06,33
6,2021-03-07,26
7,2021-03-08,55
8,2021-03-09,55
9,2021-03-10,60
10,2021-03-11,67
11,2021-03-12,51
12,2021-03-13,40
13,2021-03-14,63
14,2021-03-15,59
15,2021-03-16,85
16,2021-03-17,88
17,2021-03-18,83
18,2021-03-19,43
19,2021-03-20,26
20,2021-03-21,49
21,2021-03-22,38
22,2021-03-23,88
23,2021-03-24,59
24,2021-03-25,65
25,2021-03-26,80
26,2021-03-27,47
27,2021-03-28,16
28,2021-03-29,315
29,2021-03-30,149
30,2021-03-31,47
