,Unnamed: 1,날짜,충남
0,0.0,2021-01-01,36
1,1.0,2021-01-02,41
2,2.0,2021-01-03,46
3,3.0,2021-01-04,48
4,4.0,2021-01-05,36
5,5.0,2021-01-06,28
6,6.0,2021-01-07,24
7,7.0,2021-01-08,24
8,8.0,2021-01-09,29
9,9.0,2021-01-10,35
10,10.0,2021-01-11,49
11,11.0,2021-01-12,56
12,12.0,2021-01-13,101
13,13.0,2021-01-14,88
14,14.0,2021-01-15,77
15,15.0,2021-01-16,63
16,16.0,2021-01-17,20
17,17.0,2021-01-18,45
18,18.0,2021-01-19,31
19,19.0,2021-01-20,42
20,20.0,2021-01-21,49
21,21.0,2021-01-22,47
22,22.0,2021-01-23,28
23,23.0,2021-01-24,18
24,24.0,2021-01-25,29
25,25.0,2021-01-26,33
26,26.0,2021-01-27,45
27,27.0,2021-01-28,40
28,28.0,2021-01-29,30
29,29.0,2021-01-30,77
30,30.0,2021-01-31,64
31,,2021-02-01,80
32,,2021-02-02,34
33,,2021-02-03,31
34,,2021-02-04,30
35,,2021-02-05,28
36,,2021-02-06,61
37,,2021-02-07,84
38,,2021-02-08,27
39,,2021-02-09,28
40,,2021-02-10,36
41,,2021-02-11,63
42,,2021-02-12,91
43,,2021-02-13,97
44,,2021-02-14,95
45,,2021-02-15,47
46,,2021-02-16,23
47,,2021-02-17,33
48,,2021-02-18,37
49,,2021-02-19,39
50,,2021-02-20,83
51,,2021-02-21,64
52,,2021-02-22,53
53,,2021-02-23,49
54,,2021-02-24,61
55,,2021-02-25,78
56,,2021-02-26,51
57,,2021-02-27,25
58,,2021-02-28,30
59,,2021-03-01,19
60,,2021-03-02,16
61,,2021-03-03,39
62,,2021-03-04,38
63,,2021-03-05,43
64,,2021-03-06,43
65,,2021-03-07,36
66,,2021-03-08,59
67,,2021-03-09,58
68,,2021-03-10,81
69,,2021-03-11,102
70,,2021-03-12,77
71,,2021-03-13,44
72,,2021-03-14,69
73,,2021-03-15,67
74,,2021-03-16,98
75,,2021-03-17,99
76,,2021-03-18,89
77,,2021-03-19,70
78,,2021-03-20,45
79,,2021-03-21,55
80,,2021-03-22,49
81,,2021-03-23,89
82,,2021-03-24,58
83,,2021-03-25,53
84,,2021-03-26,83
85,,2021-03-27,52
86,,2021-03-28,20
87,,2021-03-29,505
88,,2021-03-30,236
89,,2021-03-31,56
90,,2021-04-01,63
91,,2021-04-02,56
92,,2021-04-03,35
93,,2021-04-04,13
94,,2021-04-05,25
95,,2021-04-06,46
96,,2021-04-07,60
97,,2021-04-08,43
98,,2021-04-09,37
99,,2021-04-10,34
100,,2021-04-11,47
101,,2021-04-12,36
102,,2021-04-13,20
103,,2021-04-14,31
104,,2021-04-15,38
105,,2021-04-16,62
106,,2021-04-17,85
107,,2021-04-18,36
108,,2021-04-19,48
109,,2021-04-20,56
110,,2021-04-21,66
111,,2021-04-22,66
112,,2021-04-23,42
113,,2021-04-24,29
114,,2021-04-25,38
115,,2021-04-26,37
116,,2021-04-27,37
117,,2021-04-28,75
118,,2021-04-29,84
119,,2021-04-30,40
120,,2021-05-01,37
121,,2021-05-02,19
122,,2021-05-03,28
123,,2021-05-04,28
124,,2021-05-05,53
125,,2021-05-06,75
126,,2021-05-07,353
127,,2021-05-08,422
128,,2021-05-09,87
129,,2021-05-10,23
130,,2021-05-11,22
131,,2021-05-12,27
132,,2021-05-13,48
133,,2021-05-14,54
134,,2021-05-15,34
135,,2021-05-16,11
136,,2021-05-17,16
137,,2021-05-18,30
138,,2021-05-19,35
139,,2021-05-20,33
140,,2021-05-21,18
141,,2021-05-22,24
142,,2021-05-23,37
143,,2021-05-24,111
144,,2021-05-25,107
145,,2021-05-26,46
146,,2021-05-27,45
147,,2021-05-28,44
148,,2021-05-29,31
149,,2021-05-30,32
150,,2021-05-31,30
151,,2021-06-01,37
152,,2021-06-02,46
153,,2021-06-03,28
154,,2021-06-04,27
155,,2021-06-05,58
156,,2021-06-06,47
157,,2021-06-07,35
158,,2021-06-08,31
159,,2021-06-09,47
160,,2021-06-10,45
161,,2021-06-11,17
162,,2021-06-12,34
163,,2021-06-13,31
164,,2021-06-14,39
165,,2021-06-15,30
166,,2021-06-16,16
167,,2021-06-17,15
168,,2021-06-18,13
169,,2021-06-19,37
170,,2021-06-20,46
171,,2021-06-21,48
172,,2021-06-22,33
173,,2021-06-23,30
174,,2021-06-24,35
175,,2021-06-25,32
176,,2021-06-26,24
177,,2021-06-27,30
178,,2021-06-28,36
179,,2021-06-29,38
180,,2021-06-30,40
