,,날짜,충남
0,0,2021-01-01,36
1,1,2021-01-02,41
2,2,2021-01-03,46
3,3,2021-01-04,48
4,4,2021-01-05,36
5,5,2021-01-06,28
6,6,2021-01-07,24
7,7,2021-01-08,24
8,8,2021-01-09,29
9,9,2021-01-10,35
10,10,2021-01-11,49
11,11,2021-01-12,56
12,12,2021-01-13,101
13,13,2021-01-14,88
14,14,2021-01-15,77
15,15,2021-01-16,63
16,16,2021-01-17,20
17,17,2021-01-18,45
18,18,2021-01-19,31
19,19,2021-01-20,42
20,20,2021-01-21,49
21,21,2021-01-22,47
22,22,2021-01-23,28
23,23,2021-01-24,18
24,24,2021-01-25,29
25,25,2021-01-26,33
26,26,2021-01-27,45
27,27,2021-01-28,40
28,28,2021-01-29,30
29,29,2021-01-30,77
30,30,2021-01-31,64
