,날짜,충남
0,2021-06-01,37
1,2021-06-02,46
2,2021-06-03,28
3,2021-06-04,27
4,2021-06-05,58
5,2021-06-06,47
6,2021-06-07,35
7,2021-06-08,31
8,2021-06-09,47
9,2021-06-10,45
10,2021-06-11,17
11,2021-06-12,34
12,2021-06-13,31
13,2021-06-14,39
14,2021-06-15,30
15,2021-06-16,16
16,2021-06-17,15
17,2021-06-18,13
18,2021-06-19,37
19,2021-06-20,46
20,2021-06-21,48
21,2021-06-22,33
22,2021-06-23,30
23,2021-06-24,35
24,2021-06-25,32
25,2021-06-26,24
26,2021-06-27,30
27,2021-06-28,36
28,2021-06-29,38
29,2021-06-30,40
