,Unnamed: 1,날짜,대구
0,0.0,2021-01-01,22
1,1.0,2021-01-02,39
2,2.0,2021-01-03,35
3,3.0,2021-01-04,45
4,4.0,2021-01-05,39
5,5.0,2021-01-06,21
6,6.0,2021-01-07,25
7,7.0,2021-01-08,16
8,8.0,2021-01-09,18
9,9.0,2021-01-10,21
10,10.0,2021-01-11,39
11,11.0,2021-01-12,45
12,12.0,2021-01-13,89
13,13.0,2021-01-14,75
14,14.0,2021-01-15,64
15,15.0,2021-01-16,85
16,16.0,2021-01-17,17
17,17.0,2021-01-18,42
18,18.0,2021-01-19,27
19,19.0,2021-01-20,45
20,20.0,2021-01-21,62
21,21.0,2021-01-22,59
22,22.0,2021-01-23,20
23,23.0,2021-01-24,16
24,24.0,2021-01-25,24
25,25.0,2021-01-26,22
26,26.0,2021-01-27,35
27,27.0,2021-01-28,41
28,28.0,2021-01-29,33
29,29.0,2021-01-30,67
30,30.0,2021-01-31,54
31,,2021-02-01,62
32,,2021-02-02,34
33,,2021-02-03,28
34,,2021-02-04,28
35,,2021-02-05,40
36,,2021-02-06,62
37,,2021-02-07,76
38,,2021-02-08,22
39,,2021-02-09,23
40,,2021-02-10,45
41,,2021-02-11,54
42,,2021-02-12,53
43,,2021-02-13,46
44,,2021-02-14,64
45,,2021-02-15,37
46,,2021-02-16,21
47,,2021-02-17,23
48,,2021-02-18,32
49,,2021-02-19,35
50,,2021-02-20,67
51,,2021-02-21,58
52,,2021-02-22,49
53,,2021-02-23,25
54,,2021-02-24,38
55,,2021-02-25,46
56,,2021-02-26,32
57,,2021-02-27,23
58,,2021-02-28,24
59,,2021-03-01,26
60,,2021-03-02,11
61,,2021-03-03,32
62,,2021-03-04,43
63,,2021-03-05,36
64,,2021-03-06,35
65,,2021-03-07,21
66,,2021-03-08,36
67,,2021-03-09,40
68,,2021-03-10,57
69,,2021-03-11,51
70,,2021-03-12,25
71,,2021-03-13,42
72,,2021-03-14,52
73,,2021-03-15,55
74,,2021-03-16,60
75,,2021-03-17,89
76,,2021-03-18,73
77,,2021-03-19,41
78,,2021-03-20,20
79,,2021-03-21,36
80,,2021-03-22,33
81,,2021-03-23,85
82,,2021-03-24,61
83,,2021-03-25,57
84,,2021-03-26,61
85,,2021-03-27,48
86,,2021-03-28,15
87,,2021-03-29,367
88,,2021-03-30,96
89,,2021-03-31,66
90,,2021-04-01,66
91,,2021-04-02,46
92,,2021-04-03,39
93,,2021-04-04,11
94,,2021-04-05,19
95,,2021-04-06,33
96,,2021-04-07,43
97,,2021-04-08,36
98,,2021-04-09,31
99,,2021-04-10,23
100,,2021-04-11,25
101,,2021-04-12,28
102,,2021-04-13,14
103,,2021-04-14,27
104,,2021-04-15,40
105,,2021-04-16,42
106,,2021-04-17,122
107,,2021-04-18,27
108,,2021-04-19,43
109,,2021-04-20,58
110,,2021-04-21,71
111,,2021-04-22,69
112,,2021-04-23,35
113,,2021-04-24,29
114,,2021-04-25,28
115,,2021-04-26,22
116,,2021-04-27,30
117,,2021-04-28,78
118,,2021-04-29,82
119,,2021-04-30,56
120,,2021-05-01,28
121,,2021-05-02,17
122,,2021-05-03,26
123,,2021-05-04,25
124,,2021-05-05,37
125,,2021-05-06,54
126,,2021-05-07,97
127,,2021-05-08,183
128,,2021-05-09,74
129,,2021-05-10,26
130,,2021-05-11,26
131,,2021-05-12,24
132,,2021-05-13,31
133,,2021-05-14,42
134,,2021-05-15,42
135,,2021-05-16,16
136,,2021-05-17,11
137,,2021-05-18,23
138,,2021-05-19,38
139,,2021-05-20,27
140,,2021-05-21,14
141,,2021-05-22,27
142,,2021-05-23,38
143,,2021-05-24,51
144,,2021-05-25,80
145,,2021-05-26,43
146,,2021-05-27,24
147,,2021-05-28,31
148,,2021-05-29,24
149,,2021-05-30,33
150,,2021-05-31,40
151,,2021-06-01,49
152,,2021-06-02,60
153,,2021-06-03,30
154,,2021-06-04,20
155,,2021-06-05,47
156,,2021-06-06,56
157,,2021-06-07,54
158,,2021-06-08,48
159,,2021-06-09,49
160,,2021-06-10,48
161,,2021-06-11,21
162,,2021-06-12,24
163,,2021-06-13,31
164,,2021-06-14,34
165,,2021-06-15,21
166,,2021-06-16,11
167,,2021-06-17,20
168,,2021-06-18,31
169,,2021-06-19,31
170,,2021-06-20,36
171,,2021-06-21,31
172,,2021-06-22,32
173,,2021-06-23,27
174,,2021-06-24,28
175,,2021-06-25,39
176,,2021-06-26,36
177,,2021-06-27,33
178,,2021-06-28,30
179,,2021-06-29,27
180,,2021-06-30,35
