,,날짜,대구
0,0,2021-01-01,22
1,1,2021-01-02,39
2,2,2021-01-03,35
3,3,2021-01-04,45
4,4,2021-01-05,39
5,5,2021-01-06,21
6,6,2021-01-07,25
7,7,2021-01-08,16
8,8,2021-01-09,18
9,9,2021-01-10,21
10,10,2021-01-11,39
11,11,2021-01-12,45
12,12,2021-01-13,89
13,13,2021-01-14,75
14,14,2021-01-15,64
15,15,2021-01-16,85
16,16,2021-01-17,17
17,17,2021-01-18,42
18,18,2021-01-19,27
19,19,2021-01-20,45
20,20,2021-01-21,62
21,21,2021-01-22,59
22,22,2021-01-23,20
23,23,2021-01-24,16
24,24,2021-01-25,24
25,25,2021-01-26,22
26,26,2021-01-27,35
27,27,2021-01-28,41
28,28,2021-01-29,33
29,29,2021-01-30,67
30,30,2021-01-31,54
