,날짜,대구
0,2021-06-01,49
1,2021-06-02,60
2,2021-06-03,30
3,2021-06-04,20
4,2021-06-05,47
5,2021-06-06,56
6,2021-06-07,54
7,2021-06-08,48
8,2021-06-09,49
9,2021-06-10,48
10,2021-06-11,21
11,2021-06-12,24
12,2021-06-13,31
13,2021-06-14,34
14,2021-06-15,21
15,2021-06-16,11
16,2021-06-17,20
17,2021-06-18,31
18,2021-06-19,31
19,2021-06-20,36
20,2021-06-21,31
21,2021-06-22,32
22,2021-06-23,27
23,2021-06-24,28
24,2021-06-25,39
25,2021-06-26,36
26,2021-06-27,33
27,2021-06-28,30
28,2021-06-29,27
29,2021-06-30,35
