,Unnamed: 1,날짜,대전
0,0.0,2021-01-01,31
1,1.0,2021-01-02,39
2,2.0,2021-01-03,42
3,3.0,2021-01-04,44
4,4.0,2021-01-05,35
5,5.0,2021-01-06,24
6,6.0,2021-01-07,25
7,7.0,2021-01-08,20
8,8.0,2021-01-09,21
9,9.0,2021-01-10,27
10,10.0,2021-01-11,43
11,11.0,2021-01-12,44
12,12.0,2021-01-13,82
13,13.0,2021-01-14,97
14,14.0,2021-01-15,72
15,15.0,2021-01-16,74
16,16.0,2021-01-17,17
17,17.0,2021-01-18,37
18,18.0,2021-01-19,27
19,19.0,2021-01-20,37
20,20.0,2021-01-21,48
21,21.0,2021-01-22,30
22,22.0,2021-01-23,24
23,23.0,2021-01-24,13
24,24.0,2021-01-25,19
25,25.0,2021-01-26,21
26,26.0,2021-01-27,44
27,27.0,2021-01-28,38
28,28.0,2021-01-29,31
29,29.0,2021-01-30,62
30,30.0,2021-01-31,51
31,,2021-02-01,77
32,,2021-02-02,33
33,,2021-02-03,33
34,,2021-02-04,31
35,,2021-02-05,30
36,,2021-02-06,50
37,,2021-02-07,76
38,,2021-02-08,26
39,,2021-02-09,26
40,,2021-02-10,34
41,,2021-02-11,48
42,,2021-02-12,57
43,,2021-02-13,65
44,,2021-02-14,53
45,,2021-02-15,35
46,,2021-02-16,21
47,,2021-02-17,27
48,,2021-02-18,36
49,,2021-02-19,36
50,,2021-02-20,78
51,,2021-02-21,62
52,,2021-02-22,49
53,,2021-02-23,42
54,,2021-02-24,45
55,,2021-02-25,44
56,,2021-02-26,31
57,,2021-02-27,18
58,,2021-02-28,19
59,,2021-03-01,13
60,,2021-03-02,12
61,,2021-03-03,29
62,,2021-03-04,33
63,,2021-03-05,38
64,,2021-03-06,32
65,,2021-03-07,30
66,,2021-03-08,59
67,,2021-03-09,56
68,,2021-03-10,56
69,,2021-03-11,63
70,,2021-03-12,43
71,,2021-03-13,36
72,,2021-03-14,52
73,,2021-03-15,54
74,,2021-03-16,71
75,,2021-03-17,90
76,,2021-03-18,86
77,,2021-03-19,43
78,,2021-03-20,23
79,,2021-03-21,44
80,,2021-03-22,43
81,,2021-03-23,92
82,,2021-03-24,53
83,,2021-03-25,51
84,,2021-03-26,68
85,,2021-03-27,43
86,,2021-03-28,14
87,,2021-03-29,400
88,,2021-03-30,168
89,,2021-03-31,46
90,,2021-04-01,57
91,,2021-04-02,53
92,,2021-04-03,35
93,,2021-04-04,6
94,,2021-04-05,16
95,,2021-04-06,34
96,,2021-04-07,43
97,,2021-04-08,34
98,,2021-04-09,27
99,,2021-04-10,32
100,,2021-04-11,36
101,,2021-04-12,24
102,,2021-04-13,18
103,,2021-04-14,27
104,,2021-04-15,32
105,,2021-04-16,37
106,,2021-04-17,91
107,,2021-04-18,29
108,,2021-04-19,43
109,,2021-04-20,57
110,,2021-04-21,57
111,,2021-04-22,56
112,,2021-04-23,32
113,,2021-04-24,24
114,,2021-04-25,31
115,,2021-04-26,24
116,,2021-04-27,38
117,,2021-04-28,87
118,,2021-04-29,79
119,,2021-04-30,51
120,,2021-05-01,33
121,,2021-05-02,17
122,,2021-05-03,22
123,,2021-05-04,28
124,,2021-05-05,42
125,,2021-05-06,75
126,,2021-05-07,230
127,,2021-05-08,436
128,,2021-05-09,103
129,,2021-05-10,20
130,,2021-05-11,16
131,,2021-05-12,20
132,,2021-05-13,34
133,,2021-05-14,49
134,,2021-05-15,26
135,,2021-05-16,10
136,,2021-05-17,9
137,,2021-05-18,27
138,,2021-05-19,36
139,,2021-05-20,23
140,,2021-05-21,13
141,,2021-05-22,24
142,,2021-05-23,32
143,,2021-05-24,84
144,,2021-05-25,119
145,,2021-05-26,42
146,,2021-05-27,34
147,,2021-05-28,34
148,,2021-05-29,28
149,,2021-05-30,34
150,,2021-05-31,34
151,,2021-06-01,40
152,,2021-06-02,46
153,,2021-06-03,26
154,,2021-06-04,25
155,,2021-06-05,60
156,,2021-06-06,51
157,,2021-06-07,41
158,,2021-06-08,46
159,,2021-06-09,41
160,,2021-06-10,42
161,,2021-06-11,22
162,,2021-06-12,29
163,,2021-06-13,40
164,,2021-06-14,41
165,,2021-06-15,22
166,,2021-06-16,9
167,,2021-06-17,13
168,,2021-06-18,12
169,,2021-06-19,28
170,,2021-06-20,34
171,,2021-06-21,40
172,,2021-06-22,24
173,,2021-06-23,27
174,,2021-06-24,27
175,,2021-06-25,27
176,,2021-06-26,18
177,,2021-06-27,22
178,,2021-06-28,23
179,,2021-06-29,24
180,,2021-06-30,31
