,,날짜,대전
0,0,2021-01-01,31
1,1,2021-01-02,39
2,2,2021-01-03,42
3,3,2021-01-04,44
4,4,2021-01-05,35
5,5,2021-01-06,24
6,6,2021-01-07,25
7,7,2021-01-08,20
8,8,2021-01-09,21
9,9,2021-01-10,27
10,10,2021-01-11,43
11,11,2021-01-12,44
12,12,2021-01-13,82
13,13,2021-01-14,97
14,14,2021-01-15,72
15,15,2021-01-16,74
16,16,2021-01-17,17
17,17,2021-01-18,37
18,18,2021-01-19,27
19,19,2021-01-20,37
20,20,2021-01-21,48
21,21,2021-01-22,30
22,22,2021-01-23,24
23,23,2021-01-24,13
24,24,2021-01-25,19
25,25,2021-01-26,21
26,26,2021-01-27,44
27,27,2021-01-28,38
28,28,2021-01-29,31
29,29,2021-01-30,62
30,30,2021-01-31,51
