,날짜,대전
0,2021-06-01,40
1,2021-06-02,46
2,2021-06-03,26
3,2021-06-04,25
4,2021-06-05,60
5,2021-06-06,51
6,2021-06-07,41
7,2021-06-08,46
8,2021-06-09,41
9,2021-06-10,42
10,2021-06-11,22
11,2021-06-12,29
12,2021-06-13,40
13,2021-06-14,41
14,2021-06-15,22
15,2021-06-16,9
16,2021-06-17,13
17,2021-06-18,12
18,2021-06-19,28
19,2021-06-20,34
20,2021-06-21,40
21,2021-06-22,24
22,2021-06-23,27
23,2021-06-24,27
24,2021-06-25,27
25,2021-06-26,18
26,2021-06-27,22
27,2021-06-28,23
28,2021-06-29,24
29,2021-06-30,31
