,,날짜,인천
0,0,2021-01-01,26
1,1,2021-01-02,29
2,2,2021-01-03,35
3,3,2021-01-04,39
4,4,2021-01-05,24
5,5,2021-01-06,26
6,6,2021-01-07,25
7,7,2021-01-08,20
8,8,2021-01-09,24
9,9,2021-01-10,29
10,10,2021-01-11,49
11,11,2021-01-12,53
12,12,2021-01-13,99
13,13,2021-01-14,64
14,14,2021-01-15,66
15,15,2021-01-16,47
16,16,2021-01-17,17
17,17,2021-01-18,35
18,18,2021-01-19,30
19,19,2021-01-20,43
20,20,2021-01-21,50
21,21,2021-01-22,32
22,22,2021-01-23,15
23,23,2021-01-24,14
24,24,2021-01-25,32
25,25,2021-01-26,41
26,26,2021-01-27,34
27,27,2021-01-28,32
28,28,2021-01-29,21
29,29,2021-01-30,54
30,30,2021-01-31,52
