,날짜,인천
0,2021-03-01,18
1,2021-03-02,11
2,2021-03-03,39
3,2021-03-04,41
4,2021-03-05,38
5,2021-03-06,30
6,2021-03-07,21
7,2021-03-08,41
8,2021-03-09,41
9,2021-03-10,79
10,2021-03-11,106
11,2021-03-12,83
12,2021-03-13,52
13,2021-03-14,69
14,2021-03-15,72
15,2021-03-16,100
16,2021-03-17,89
17,2021-03-18,93
18,2021-03-19,76
19,2021-03-20,40
20,2021-03-21,42
21,2021-03-22,37
22,2021-03-23,72
23,2021-03-24,53
24,2021-03-25,41
25,2021-03-26,106
26,2021-03-27,63
27,2021-03-28,16
28,2021-03-29,363
29,2021-03-30,134
30,2021-03-31,54
