,Unnamed: 1,날짜,제주
0,0.0,2021-01-01,17
1,1.0,2021-01-02,23
2,2.0,2021-01-03,42
3,3.0,2021-01-04,38
4,4.0,2021-01-05,29
5,5.0,2021-01-06,22
6,6.0,2021-01-07,14
7,7.0,2021-01-08,10
8,8.0,2021-01-09,12
9,9.0,2021-01-10,18
10,10.0,2021-01-11,20
11,11.0,2021-01-12,41
12,12.0,2021-01-13,89
13,13.0,2021-01-14,56
14,14.0,2021-01-15,40
15,15.0,2021-01-16,59
16,16.0,2021-01-17,17
17,17.0,2021-01-18,63
18,18.0,2021-01-19,20
19,19.0,2021-01-20,17
20,20.0,2021-01-21,23
21,21.0,2021-01-22,19
22,22.0,2021-01-23,20
23,23.0,2021-01-24,24
24,24.0,2021-01-25,22
25,25.0,2021-01-26,13
26,26.0,2021-01-27,30
27,27.0,2021-01-28,48
28,28.0,2021-01-29,29
29,29.0,2021-01-30,51
30,30.0,2021-01-31,33
31,,2021-02-01,44
32,,2021-02-02,45
33,,2021-02-03,40
34,,2021-02-04,48
35,,2021-02-05,18
36,,2021-02-06,21
37,,2021-02-07,102
38,,2021-02-08,25
39,,2021-02-09,19
40,,2021-02-10,19
41,,2021-02-11,39
42,,2021-02-12,41
43,,2021-02-13,45
44,,2021-02-14,29
45,,2021-02-15,28
46,,2021-02-16,25
47,,2021-02-17,19
48,,2021-02-18,22
49,,2021-02-19,26
50,,2021-02-20,52
51,,2021-02-21,35
52,,2021-02-22,47
53,,2021-02-23,26
54,,2021-02-24,32
55,,2021-02-25,28
56,,2021-02-26,22
57,,2021-02-27,33
58,,2021-02-28,28
59,,2021-03-01,18
60,,2021-03-02,19
61,,2021-03-03,20
62,,2021-03-04,18
63,,2021-03-05,21
64,,2021-03-06,42
65,,2021-03-07,38
66,,2021-03-08,44
67,,2021-03-09,32
68,,2021-03-10,60
69,,2021-03-11,37
70,,2021-03-12,24
71,,2021-03-13,34
72,,2021-03-14,49
73,,2021-03-15,40
74,,2021-03-16,60
75,,2021-03-17,66
76,,2021-03-18,65
77,,2021-03-19,43
78,,2021-03-20,16
79,,2021-03-21,49
80,,2021-03-22,37
81,,2021-03-23,73
82,,2021-03-24,44
83,,2021-03-25,41
84,,2021-03-26,62
85,,2021-03-27,29
86,,2021-03-28,61
87,,2021-03-29,578
88,,2021-03-30,421
89,,2021-03-31,91
90,,2021-04-01,64
91,,2021-04-02,50
92,,2021-04-03,19
93,,2021-04-04,17
94,,2021-04-05,20
95,,2021-04-06,27
96,,2021-04-07,47
97,,2021-04-08,41
98,,2021-04-09,31
99,,2021-04-10,25
100,,2021-04-11,23
101,,2021-04-12,19
102,,2021-04-13,24
103,,2021-04-14,25
104,,2021-04-15,28
105,,2021-04-16,26
106,,2021-04-17,79
107,,2021-04-18,36
108,,2021-04-19,31
109,,2021-04-20,41
110,,2021-04-21,41
111,,2021-04-22,47
112,,2021-04-23,46
113,,2021-04-24,44
114,,2021-04-25,35
115,,2021-04-26,26
116,,2021-04-27,26
117,,2021-04-28,23
118,,2021-04-29,57
119,,2021-04-30,59
120,,2021-05-01,25
121,,2021-05-02,31
122,,2021-05-03,25
123,,2021-05-04,24
124,,2021-05-05,48
125,,2021-05-06,70
126,,2021-05-07,117
127,,2021-05-08,245
128,,2021-05-09,85
129,,2021-05-10,37
130,,2021-05-11,31
131,,2021-05-12,36
132,,2021-05-13,20
133,,2021-05-14,20
134,,2021-05-15,14
135,,2021-05-16,13
136,,2021-05-17,26
137,,2021-05-18,25
138,,2021-05-19,28
139,,2021-05-20,15
140,,2021-05-21,24
141,,2021-05-22,20
142,,2021-05-23,21
143,,2021-05-24,30
144,,2021-05-25,83
145,,2021-05-26,35
146,,2021-05-27,32
147,,2021-05-28,41
148,,2021-05-29,28
149,,2021-05-30,25
150,,2021-05-31,31
151,,2021-06-01,35
152,,2021-06-02,33
153,,2021-06-03,11
154,,2021-06-04,15
155,,2021-06-05,41
156,,2021-06-06,32
157,,2021-06-07,21
158,,2021-06-08,21
159,,2021-06-09,23
160,,2021-06-10,27
161,,2021-06-11,10
162,,2021-06-12,15
163,,2021-06-13,20
164,,2021-06-14,30
165,,2021-06-15,18
166,,2021-06-16,15
167,,2021-06-17,19
168,,2021-06-18,17
169,,2021-06-19,25
170,,2021-06-20,36
171,,2021-06-21,36
172,,2021-06-22,31
173,,2021-06-23,28
174,,2021-06-24,31
175,,2021-06-25,22
176,,2021-06-26,26
177,,2021-06-27,32
178,,2021-06-28,28
179,,2021-06-29,25
180,,2021-06-30,24
