,,날짜,제주
0,0,2021-01-01,17
1,1,2021-01-02,23
2,2,2021-01-03,42
3,3,2021-01-04,38
4,4,2021-01-05,29
5,5,2021-01-06,22
6,6,2021-01-07,14
7,7,2021-01-08,10
8,8,2021-01-09,12
9,9,2021-01-10,18
10,10,2021-01-11,20
11,11,2021-01-12,41
12,12,2021-01-13,89
13,13,2021-01-14,56
14,14,2021-01-15,40
15,15,2021-01-16,59
16,16,2021-01-17,17
17,17,2021-01-18,63
18,18,2021-01-19,20
19,19,2021-01-20,17
20,20,2021-01-21,23
21,21,2021-01-22,19
22,22,2021-01-23,20
23,23,2021-01-24,24
24,24,2021-01-25,22
25,25,2021-01-26,13
26,26,2021-01-27,30
27,27,2021-01-28,48
28,28,2021-01-29,29
29,29,2021-01-30,51
30,30,2021-01-31,33
