,날짜,제주
0,2021-03-01,18
1,2021-03-02,19
2,2021-03-03,20
3,2021-03-04,18
4,2021-03-05,21
5,2021-03-06,42
6,2021-03-07,38
7,2021-03-08,44
8,2021-03-09,32
9,2021-03-10,60
10,2021-03-11,37
11,2021-03-12,24
12,2021-03-13,34
13,2021-03-14,49
14,2021-03-15,40
15,2021-03-16,60
16,2021-03-17,66
17,2021-03-18,65
18,2021-03-19,43
19,2021-03-20,16
20,2021-03-21,49
21,2021-03-22,37
22,2021-03-23,73
23,2021-03-24,44
24,2021-03-25,41
25,2021-03-26,62
26,2021-03-27,29
27,2021-03-28,61
28,2021-03-29,578
29,2021-03-30,421
30,2021-03-31,91
