,Unnamed: 1,날짜,전북
0,0.0,2021-01-01,28
1,1.0,2021-01-02,40
2,2.0,2021-01-03,39
3,3.0,2021-01-04,44
4,4.0,2021-01-05,36
5,5.0,2021-01-06,20
6,6.0,2021-01-07,17
7,7.0,2021-01-08,21
8,8.0,2021-01-09,25
9,9.0,2021-01-10,28
10,10.0,2021-01-11,40
11,11.0,2021-01-12,43
12,12.0,2021-01-13,93
13,13.0,2021-01-14,89
14,14.0,2021-01-15,67
15,15.0,2021-01-16,60
16,16.0,2021-01-17,17
17,17.0,2021-01-18,40
18,18.0,2021-01-19,24
19,19.0,2021-01-20,31
20,20.0,2021-01-21,34
21,21.0,2021-01-22,33
22,22.0,2021-01-23,32
23,23.0,2021-01-24,16
24,24.0,2021-01-25,23
25,25.0,2021-01-26,29
26,26.0,2021-01-27,40
27,27.0,2021-01-28,38
28,28.0,2021-01-29,27
29,29.0,2021-01-30,81
30,30.0,2021-01-31,67
31,,2021-02-01,84
32,,2021-02-02,31
33,,2021-02-03,27
34,,2021-02-04,31
35,,2021-02-05,27
36,,2021-02-06,45
37,,2021-02-07,85
38,,2021-02-08,25
39,,2021-02-09,24
40,,2021-02-10,32
41,,2021-02-11,50
42,,2021-02-12,62
43,,2021-02-13,67
44,,2021-02-14,64
45,,2021-02-15,38
46,,2021-02-16,19
47,,2021-02-17,21
48,,2021-02-18,28
49,,2021-02-19,34
50,,2021-02-20,73
51,,2021-02-21,55
52,,2021-02-22,50
53,,2021-02-23,40
54,,2021-02-24,49
55,,2021-02-25,59
56,,2021-02-26,27
57,,2021-02-27,20
58,,2021-02-28,22
59,,2021-03-01,12
60,,2021-03-02,14
61,,2021-03-03,29
62,,2021-03-04,30
63,,2021-03-05,35
64,,2021-03-06,50
65,,2021-03-07,40
66,,2021-03-08,54
67,,2021-03-09,51
68,,2021-03-10,70
69,,2021-03-11,82
70,,2021-03-12,37
71,,2021-03-13,34
72,,2021-03-14,58
73,,2021-03-15,53
74,,2021-03-16,79
75,,2021-03-17,86
76,,2021-03-18,73
77,,2021-03-19,65
78,,2021-03-20,36
79,,2021-03-21,51
80,,2021-03-22,46
81,,2021-03-23,86
82,,2021-03-24,56
83,,2021-03-25,49
84,,2021-03-26,69
85,,2021-03-27,39
86,,2021-03-28,21
87,,2021-03-29,564
88,,2021-03-30,290
89,,2021-03-31,56
90,,2021-04-01,55
91,,2021-04-02,51
92,,2021-04-03,28
93,,2021-04-04,9
94,,2021-04-05,19
95,,2021-04-06,41
96,,2021-04-07,60
97,,2021-04-08,44
98,,2021-04-09,37
99,,2021-04-10,35
100,,2021-04-11,39
101,,2021-04-12,22
102,,2021-04-13,18
103,,2021-04-14,27
104,,2021-04-15,35
105,,2021-04-16,41
106,,2021-04-17,82
107,,2021-04-18,36
108,,2021-04-19,43
109,,2021-04-20,56
110,,2021-04-21,62
111,,2021-04-22,56
112,,2021-04-23,32
113,,2021-04-24,29
114,,2021-04-25,39
115,,2021-04-26,32
116,,2021-04-27,32
117,,2021-04-28,87
118,,2021-04-29,89
119,,2021-04-30,46
120,,2021-05-01,34
121,,2021-05-02,21
122,,2021-05-03,22
123,,2021-05-04,25
124,,2021-05-05,47
125,,2021-05-06,70
126,,2021-05-07,263
127,,2021-05-08,370
128,,2021-05-09,103
129,,2021-05-10,26
130,,2021-05-11,22
131,,2021-05-12,27
132,,2021-05-13,43
133,,2021-05-14,48
134,,2021-05-15,23
135,,2021-05-16,9
136,,2021-05-17,11
137,,2021-05-18,25
138,,2021-05-19,34
139,,2021-05-20,26
140,,2021-05-21,18
141,,2021-05-22,22
142,,2021-05-23,33
143,,2021-05-24,79
144,,2021-05-25,106
145,,2021-05-26,41
146,,2021-05-27,36
147,,2021-05-28,46
148,,2021-05-29,33
149,,2021-05-30,36
150,,2021-05-31,35
151,,2021-06-01,42
152,,2021-06-02,47
153,,2021-06-03,19
154,,2021-06-04,24
155,,2021-06-05,62
156,,2021-06-06,55
157,,2021-06-07,46
158,,2021-06-08,48
159,,2021-06-09,48
160,,2021-06-10,47
161,,2021-06-11,16
162,,2021-06-12,35
163,,2021-06-13,37
164,,2021-06-14,45
165,,2021-06-15,35
166,,2021-06-16,13
167,,2021-06-17,17
168,,2021-06-18,14
169,,2021-06-19,33
170,,2021-06-20,40
171,,2021-06-21,50
172,,2021-06-22,36
173,,2021-06-23,39
174,,2021-06-24,35
175,,2021-06-25,32
176,,2021-06-26,22
177,,2021-06-27,29
178,,2021-06-28,37
179,,2021-06-29,37
180,,2021-06-30,34
