,,날짜,전북
0,0,2021-01-01,28
1,1,2021-01-02,40
2,2,2021-01-03,39
3,3,2021-01-04,44
4,4,2021-01-05,36
5,5,2021-01-06,20
6,6,2021-01-07,17
7,7,2021-01-08,21
8,8,2021-01-09,25
9,9,2021-01-10,28
10,10,2021-01-11,40
11,11,2021-01-12,43
12,12,2021-01-13,93
13,13,2021-01-14,89
14,14,2021-01-15,67
15,15,2021-01-16,60
16,16,2021-01-17,17
17,17,2021-01-18,40
18,18,2021-01-19,24
19,19,2021-01-20,31
20,20,2021-01-21,34
21,21,2021-01-22,33
22,22,2021-01-23,32
23,23,2021-01-24,16
24,24,2021-01-25,23
25,25,2021-01-26,29
26,26,2021-01-27,40
27,27,2021-01-28,38
28,28,2021-01-29,27
29,29,2021-01-30,81
30,30,2021-01-31,67
