,날짜,전북
0,2021-05-01,34
1,2021-05-02,21
2,2021-05-03,22
3,2021-05-04,25
4,2021-05-05,47
5,2021-05-06,70
6,2021-05-07,263
7,2021-05-08,370
8,2021-05-09,103
9,2021-05-10,26
10,2021-05-11,22
11,2021-05-12,27
12,2021-05-13,43
13,2021-05-14,48
14,2021-05-15,23
15,2021-05-16,9
16,2021-05-17,11
17,2021-05-18,25
18,2021-05-19,34
19,2021-05-20,26
20,2021-05-21,18
21,2021-05-22,22
22,2021-05-23,33
23,2021-05-24,79
24,2021-05-25,106
25,2021-05-26,41
26,2021-05-27,36
27,2021-05-28,46
28,2021-05-29,33
29,2021-05-30,36
30,2021-05-31,35
