,Unnamed: 1,날짜,전남
0,0.0,2021-01-01,18
1,1.0,2021-01-02,27
2,2.0,2021-01-03,35
3,3.0,2021-01-04,40
4,4.0,2021-01-05,31
5,5.0,2021-01-06,15
6,6.0,2021-01-07,18
7,7.0,2021-01-08,14
8,8.0,2021-01-09,16
9,9.0,2021-01-10,21
10,10.0,2021-01-11,26
11,11.0,2021-01-12,34
12,12.0,2021-01-13,77
13,13.0,2021-01-14,81
14,14.0,2021-01-15,58
15,15.0,2021-01-16,61
16,16.0,2021-01-17,16
17,17.0,2021-01-18,46
18,18.0,2021-01-19,24
19,19.0,2021-01-20,26
20,20.0,2021-01-21,28
21,21.0,2021-01-22,29
22,22.0,2021-01-23,26
23,23.0,2021-01-24,17
24,24.0,2021-01-25,20
25,25.0,2021-01-26,16
26,26.0,2021-01-27,30
27,27.0,2021-01-28,38
28,28.0,2021-01-29,27
29,29.0,2021-01-30,58
30,30.0,2021-01-31,63
31,,2021-02-01,63
32,,2021-02-02,30
33,,2021-02-03,25
34,,2021-02-04,29
35,,2021-02-05,24
36,,2021-02-06,37
37,,2021-02-07,75
38,,2021-02-08,21
39,,2021-02-09,18
40,,2021-02-10,25
41,,2021-02-11,44
42,,2021-02-12,53
43,,2021-02-13,52
44,,2021-02-14,53
45,,2021-02-15,27
46,,2021-02-16,19
47,,2021-02-17,19
48,,2021-02-18,24
49,,2021-02-19,27
50,,2021-02-20,57
51,,2021-02-21,47
52,,2021-02-22,43
53,,2021-02-23,28
54,,2021-02-24,35
55,,2021-02-25,30
56,,2021-02-26,20
57,,2021-02-27,21
58,,2021-02-28,20
59,,2021-03-01,14
60,,2021-03-02,11
61,,2021-03-03,21
62,,2021-03-04,20
63,,2021-03-05,20
64,,2021-03-06,37
65,,2021-03-07,30
66,,2021-03-08,39
67,,2021-03-09,31
68,,2021-03-10,55
69,,2021-03-11,46
70,,2021-03-12,18
71,,2021-03-13,24
72,,2021-03-14,42
73,,2021-03-15,45
74,,2021-03-16,64
75,,2021-03-17,71
76,,2021-03-18,66
77,,2021-03-19,47
78,,2021-03-20,21
79,,2021-03-21,41
80,,2021-03-22,37
81,,2021-03-23,73
82,,2021-03-24,51
83,,2021-03-25,40
84,,2021-03-26,59
85,,2021-03-27,32
86,,2021-03-28,25
87,,2021-03-29,519
88,,2021-03-30,240
89,,2021-03-31,79
90,,2021-04-01,52
91,,2021-04-02,52
92,,2021-04-03,26
93,,2021-04-04,9
94,,2021-04-05,18
95,,2021-04-06,28
96,,2021-04-07,41
97,,2021-04-08,32
98,,2021-04-09,31
99,,2021-04-10,24
100,,2021-04-11,19
101,,2021-04-12,15
102,,2021-04-13,15
103,,2021-04-14,23
104,,2021-04-15,28
105,,2021-04-16,29
106,,2021-04-17,65
107,,2021-04-18,33
108,,2021-04-19,34
109,,2021-04-20,43
110,,2021-04-21,51
111,,2021-04-22,51
112,,2021-04-23,42
113,,2021-04-24,28
114,,2021-04-25,30
115,,2021-04-26,22
116,,2021-04-27,22
117,,2021-04-28,46
118,,2021-04-29,73
119,,2021-04-30,45
120,,2021-05-01,23
121,,2021-05-02,20
122,,2021-05-03,18
123,,2021-05-04,20
124,,2021-05-05,40
125,,2021-05-06,56
126,,2021-05-07,159
127,,2021-05-08,342
128,,2021-05-09,94
129,,2021-05-10,28
130,,2021-05-11,28
131,,2021-05-12,29
132,,2021-05-13,31
133,,2021-05-14,22
134,,2021-05-15,18
135,,2021-05-16,9
136,,2021-05-17,14
137,,2021-05-18,19
138,,2021-05-19,29
139,,2021-05-20,19
140,,2021-05-21,19
141,,2021-05-22,20
142,,2021-05-23,32
143,,2021-05-24,45
144,,2021-05-25,93
145,,2021-05-26,40
146,,2021-05-27,30
147,,2021-05-28,40
148,,2021-05-29,28
149,,2021-05-30,31
150,,2021-05-31,33
151,,2021-06-01,40
152,,2021-06-02,41
153,,2021-06-03,15
154,,2021-06-04,17
155,,2021-06-05,42
156,,2021-06-06,38
157,,2021-06-07,29
158,,2021-06-08,25
159,,2021-06-09,33
160,,2021-06-10,33
161,,2021-06-11,16
162,,2021-06-12,23
163,,2021-06-13,25
164,,2021-06-14,27
165,,2021-06-15,17
166,,2021-06-16,11
167,,2021-06-17,14
168,,2021-06-18,15
169,,2021-06-19,27
170,,2021-06-20,34
171,,2021-06-21,34
172,,2021-06-22,30
173,,2021-06-23,25
174,,2021-06-24,21
175,,2021-06-25,25
176,,2021-06-26,23
177,,2021-06-27,26
178,,2021-06-28,30
179,,2021-06-29,28
180,,2021-06-30,26
