,,날짜,전남
0,0,2021-01-01,18
1,1,2021-01-02,27
2,2,2021-01-03,35
3,3,2021-01-04,40
4,4,2021-01-05,31
5,5,2021-01-06,15
6,6,2021-01-07,18
7,7,2021-01-08,14
8,8,2021-01-09,16
9,9,2021-01-10,21
10,10,2021-01-11,26
11,11,2021-01-12,34
12,12,2021-01-13,77
13,13,2021-01-14,81
14,14,2021-01-15,58
15,15,2021-01-16,61
16,16,2021-01-17,16
17,17,2021-01-18,46
18,18,2021-01-19,24
19,19,2021-01-20,26
20,20,2021-01-21,28
21,21,2021-01-22,29
22,22,2021-01-23,26
23,23,2021-01-24,17
24,24,2021-01-25,20
25,25,2021-01-26,16
26,26,2021-01-27,30
27,27,2021-01-28,38
28,28,2021-01-29,27
29,29,2021-01-30,58
30,30,2021-01-31,63
