,날짜,전남
0,2021-03-01,14
1,2021-03-02,11
2,2021-03-03,21
3,2021-03-04,20
4,2021-03-05,20
5,2021-03-06,37
6,2021-03-07,30
7,2021-03-08,39
8,2021-03-09,31
9,2021-03-10,55
10,2021-03-11,46
11,2021-03-12,18
12,2021-03-13,24
13,2021-03-14,42
14,2021-03-15,45
15,2021-03-16,64
16,2021-03-17,71
17,2021-03-18,66
18,2021-03-19,47
19,2021-03-20,21
20,2021-03-21,41
21,2021-03-22,37
22,2021-03-23,73
23,2021-03-24,51
24,2021-03-25,40
25,2021-03-26,59
26,2021-03-27,32
27,2021-03-28,25
28,2021-03-29,519
29,2021-03-30,240
30,2021-03-31,79
