,Unnamed: 1,날짜,강원
0,0.0,2021-01-01,22
1,1.0,2021-01-02,30
2,2.0,2021-01-03,32
3,3.0,2021-01-04,30
4,4.0,2021-01-05,25
5,5.0,2021-01-06,20
6,6.0,2021-01-07,29
7,7.0,2021-01-08,16
8,8.0,2021-01-09,20
9,9.0,2021-01-10,25
10,10.0,2021-01-11,31
11,11.0,2021-01-12,43
12,12.0,2021-01-13,99
13,13.0,2021-01-14,82
14,14.0,2021-01-15,81
15,15.0,2021-01-16,74
16,16.0,2021-01-17,20
17,17.0,2021-01-18,31
18,18.0,2021-01-19,29
19,19.0,2021-01-20,47
20,20.0,2021-01-21,42
21,21.0,2021-01-22,27
22,22.0,2021-01-23,10
23,23.0,2021-01-24,15
24,24.0,2021-01-25,23
25,25.0,2021-01-26,25
26,26.0,2021-01-27,33
27,27.0,2021-01-28,34
28,28.0,2021-01-29,20
29,29.0,2021-01-30,39
30,30.0,2021-01-31,42
31,,2021-02-01,60
32,,2021-02-02,29
33,,2021-02-03,28
34,,2021-02-04,20
35,,2021-02-05,32
36,,2021-02-06,62
37,,2021-02-07,69
38,,2021-02-08,23
39,,2021-02-09,25
40,,2021-02-10,40
41,,2021-02-11,55
42,,2021-02-12,49
43,,2021-02-13,50
44,,2021-02-14,47
45,,2021-02-15,34
46,,2021-02-16,18
47,,2021-02-17,34
48,,2021-02-18,34
49,,2021-02-19,48
50,,2021-02-20,60
51,,2021-02-21,55
52,,2021-02-22,51
53,,2021-02-23,37
54,,2021-02-24,34
55,,2021-02-25,37
56,,2021-02-26,27
57,,2021-02-27,17
58,,2021-02-28,21
59,,2021-03-01,12
60,,2021-03-02,10
61,,2021-03-03,25
62,,2021-03-04,32
63,,2021-03-05,30
64,,2021-03-06,21
65,,2021-03-07,17
66,,2021-03-08,32
67,,2021-03-09,42
68,,2021-03-10,57
69,,2021-03-11,57
70,,2021-03-12,44
71,,2021-03-13,50
72,,2021-03-14,60
73,,2021-03-15,59
74,,2021-03-16,75
75,,2021-03-17,81
76,,2021-03-18,70
77,,2021-03-19,55
78,,2021-03-20,28
79,,2021-03-21,34
80,,2021-03-22,32
81,,2021-03-23,84
82,,2021-03-24,62
83,,2021-03-25,56
84,,2021-03-26,64
85,,2021-03-27,43
86,,2021-03-28,19
87,,2021-03-29,222
88,,2021-03-30,76
89,,2021-03-31,37
90,,2021-04-01,48
91,,2021-04-02,48
92,,2021-04-03,30
93,,2021-04-04,15
94,,2021-04-05,16
95,,2021-04-06,28
96,,2021-04-07,39
97,,2021-04-08,27
98,,2021-04-09,26
99,,2021-04-10,29
100,,2021-04-11,42
101,,2021-04-12,31
102,,2021-04-13,14
103,,2021-04-14,24
104,,2021-04-15,33
105,,2021-04-16,67
106,,2021-04-17,122
107,,2021-04-18,30
108,,2021-04-19,50
109,,2021-04-20,63
110,,2021-04-21,61
111,,2021-04-22,55
112,,2021-04-23,32
113,,2021-04-24,21
114,,2021-04-25,20
115,,2021-04-26,21
116,,2021-04-27,29
117,,2021-04-28,59
118,,2021-04-29,49
119,,2021-04-30,24
120,,2021-05-01,22
121,,2021-05-02,16
122,,2021-05-03,23
123,,2021-05-04,27
124,,2021-05-05,33
125,,2021-05-06,66
126,,2021-05-07,214
127,,2021-05-08,408
128,,2021-05-09,59
129,,2021-05-10,21
130,,2021-05-11,19
131,,2021-05-12,19
132,,2021-05-13,25
133,,2021-05-14,33
134,,2021-05-15,25
135,,2021-05-16,8
136,,2021-05-17,7
137,,2021-05-18,18
138,,2021-05-19,29
139,,2021-05-20,24
140,,2021-05-21,9
141,,2021-05-22,25
142,,2021-05-23,31
143,,2021-05-24,77
144,,2021-05-25,78
145,,2021-05-26,37
146,,2021-05-27,29
147,,2021-05-28,22
148,,2021-05-29,16
149,,2021-05-30,18
150,,2021-05-31,26
151,,2021-06-01,34
152,,2021-06-02,38
153,,2021-06-03,29
154,,2021-06-04,22
155,,2021-06-05,37
156,,2021-06-06,45
157,,2021-06-07,39
158,,2021-06-08,29
159,,2021-06-09,30
160,,2021-06-10,37
161,,2021-06-11,22
162,,2021-06-12,19
163,,2021-06-13,16
164,,2021-06-14,16
165,,2021-06-15,12
166,,2021-06-16,10
167,,2021-06-17,15
168,,2021-06-18,15
169,,2021-06-19,26
170,,2021-06-20,35
171,,2021-06-21,32
172,,2021-06-22,14
173,,2021-06-23,13
174,,2021-06-24,18
175,,2021-06-25,26
176,,2021-06-26,21
177,,2021-06-27,21
178,,2021-06-28,21
179,,2021-06-29,21
180,,2021-06-30,24
